曲管理番号	バージョン	曲名	Diff	Lv
284	DJ TROOPERS	華爛漫 -Flowers-	A	10
285	CANNON BALLERS	バスルーム ロマンス	A	10
286	Sparkle Shower	バブリン	A	10
287	Pinky Crush	ＰＡＳＴＥＬＩＳＭ	A	10
288	HAPPY SKY	ヒマワリ	A	10
289	SINOBUZ	¡Viva!	A	10
290	SINOBUZ	冬椿 ft. Kanae Asaba	A	10
291	PENDUAL	ベィスドロップ・フリークス	A	10
292	copula	星屑ディスタンシア	A	10
293	GOLD	星をこの手に	A	10
294	BISTROVER	水無月の雫 ft. 小林まな	A	10
295	tricoro	メイメツ、フラグメンツ	A	10
296	EMPRESS	山岡晃の「クイズ！家事都合！」	A	10
297	tricoro	ラキラキ	A	10
298	RESIDENT	楽園追放	A	10
299	HEROIC VERSE	Advent Infamous	A	11
300	Resort Anthem	Aegis	A	11
301	Rootage	Afterimage d'automne	A	11
302	SIRIUS	AIR RAID FROM THA UNDAGROUND	A	11
303	SINOBUZ	Amazing Mirage	A	11
304	RESIDENT	Ambush Ace	A	11
305	CANNON BALLERS	Amor De Verão	A	11
306	BISTROVER	AMRITA -不滅ノ花-	A	11
307	IIDX RED	ANDROMEDA	A	11
308	Resort Anthem	ANTHEM LANDING	A	11
309	EMPRESS	Arabian Rave Night	A	11
310	SINOBUZ	Around The Galaxy	A	11
311	copula	Aublia	A	11
312	EMPRESS	B4U(BEMANI FOR YOU MIX)	A	11
313	Sparkle Shower	Bang Bang Dance	A	11
314	CastHour	Banger Banger Banger Banger	A	11
315	copula	Battle Train -IIDX Edition-	A	11
316	CANNON BALLERS	Be a Hero!	A	11
317	DJ TROOPERS	Be OK	L	11
318	Resort Anthem	Believe In Me	A	11
319	SIRIUS	bloomin' feeling	A	11
320	HEROIC VERSE	Bow shock!!	A	11
321	Resort Anthem	BROKEN EDEN	A	11
322	6th style	Buffalo	L	11
323	BISTROVER	Burning Flame	A	11
324	RESIDENT	Caldwell 99	A	11
325	Lincle	Castle on the Moon	A	11
326	Sparkle Shower	Catch ya Getcha!	A	11
327	HEROIC VERSE	Change Yourself	A	11
328	Pinky Crush	CHAOTIC SUNBIRD	A	11
329	CANNON BALLERS	ChaserXX	A	11
330	EPOLIS	Chemical Colours	A	11
331	PENDUAL	CHRONO DIVER -NORNIR-	A	11
332	RESIDENT	CODE -CRiMSON-	A	11
333	EPOLIS	CODE:2	A	11
334	tricoro	CONCEPTUAL	A	11
335	Pinky Crush	Constellation	A	11
336	DistorteD	CONTRACT	A	11
337	Rootage	COSMIC CYBER	A	11
338	Sparkle Shower	Countdown to Heaven or Hell	A	11
339	BISTROVER	Crazy Jackpot	A	11
340	SINOBUZ	crew	A	11
341	BISTROVER	Danza Aestas	A	11
342	Resort Anthem	Destiny Sword	A	11
343	SPADA	Devilz Sacrifice -贖罪の羊-	A	11
344	CastHour	DISPARATE	A	11
345	CastHour	DREAM OF SPACE UFO ABDUCTION	A	11
346	EPOLIS	Echoes of Sunfall	A	11
347	SPADA	Elektrick U-Phoria	A	11
348	Pinky Crush	ELYSIUM	A	11
349	Rootage	Ember Lights	A	11
350	SIRIUS	Empire State Glory	A	11
351	SPADA	Engraved Mark	A	11
352	PENDUAL	Erosion Mark	A	11
353	Pinky Crush	everlastingeuphoria:	A	11
354	BISTROVER	Explorer feat. ぷにぷに電機	L	11
355	SPADA	EXTREME MACH COLLIDER	A	11
356	Sparkle Shower	Fashion Fruit	A	11
357	CastHour	FINALLY BLAZE	A	11
358	6th style	G2	A	11
359	SIRIUS	GALGALIM	A	11
360	Rootage	Garuda	A	11
361	IIDX RED	GENOCIDE	A	11
