アクティブな難易度表: 22ランク
数値ランク数: 21
投票がある楽曲: 236件

変動対象楽曲: 234件
  DEMOTE  11.9 -> 11.8 | satellite020712 from "CODED ARMS" (↑0 ↓1)
  PROMOTE 11.9 -> 12.0 | The Limbo (↑1 ↓0)
  PROMOTE 11.9 -> 12.0 | Ubertreffen[L] (↑1 ↓0)
  DEMOTE  11.9 -> 11.8 | Welcome (↑0 ↓1)
  PROMOTE 11.8 -> 11.9 | BattleRoyal (↑1 ↓0)
  PROMOTE 11.8 -> 11.9 | Digitank System (↑2 ↓0)
  PROMOTE 11.8 -> 11.9 | Highcharge Divolt (↑1 ↓0)
  PROMOTE 11.8 -> 11.9 | Psycho Sheep Riddim[L] (↑1 ↓0)
  PROMOTE 11.8 -> 11.9 | smooooch・∀・[L] (↑1 ↓0)
  PROMOTE 11.8 -> 11.9 | With You (↑2 ↓0)
  PROMOTE 11.8 -> 11.9 | ディッシュウォッシャー◎彡おいわちゃん (↑1 ↓0)
  PROMOTE 11.8 -> 11.9 | 君のハートにロックオン (↑1 ↓0)
  DEMOTE  11.7 -> 11.6 | A (↑0 ↓1)
  PROMOTE 11.7 -> 11.8 | GENE (↑1 ↓0)
  PROMOTE 11.7 -> 11.8 | LIVE DRIVING!! feat. 花たん (↑1 ↓0)
  PROMOTE 11.7 -> 11.8 | Smalt #28598F (↑1 ↓0)
  PROMOTE 11.7 -> 11.8 | THE BLACK KNIGHT (↑1 ↓0)
  DEMOTE  11.7 -> 11.6 | TROOPERS (↑0 ↓1)
  PROMOTE 11.7 -> 11.8 | VOLCANIC BIGBEAT (↑1 ↓0)
  PROMOTE 11.6 -> 11.7 | A Certified Rave Moment (↑1 ↓0)
  PROMOTE 11.6 -> 11.7 | FIRE FIRE (↑2 ↓0)
  PROMOTE 11.6 -> 11.7 | Hallucination (↑1 ↓0)
  PROMOTE 11.6 -> 11.7 | VANESSA (↑1 ↓0)
  DEMOTE  11.5 -> 11.4 | AFRO KNUCKLE (↑0 ↓1)
  PROMOTE 11.5 -> 11.6 | Catch Me[L] (↑1 ↓0)
  DEMOTE  11.5 -> 11.4 | COSMIC CYBER (↑0 ↓1)
  PROMOTE 11.5 -> 11.6 | i-ii (↑1 ↓0)
  DEMOTE  11.5 -> 11.4 | Raspberry Potion (feat.あれたん & ぎゃるのしん☆) (↑0 ↓1)
  PROMOTE 11.5 -> 11.6 | Todestrieb (↑1 ↓0)
  PROMOTE 11.5 -> 11.6 | waxing and wanding[L] (↑1 ↓0)
  PROMOTE 11.5 -> 11.6 | ZZ (↑1 ↓0)
  DEMOTE  11.5 -> 11.4 | アイドル[L] (↑0 ↓1)
  PROMOTE 11.5 -> 11.6 | めうめうぺったんたん！！ (ZAQUVA Remix) (↑1 ↓0)
  PROMOTE 11.4 -> 11.5 | BIGソムタム (↑1 ↓0)
  DEMOTE  11.4 -> 11.3 | Elisha (↑0 ↓1)
  PROMOTE 11.4 -> 11.5 | everlastingeuphoria: (↑1 ↓0)
  DEMOTE  11.4 -> 11.3 | Outbreak (↑0 ↓1)
  PROMOTE 11.4 -> 11.5 | Ristaccia (↑1 ↓0)
  DEMOTE  11.4 -> 11.3 | Show Me All Your Love (↑0 ↓1)
  DEMOTE  11.4 -> 11.3 | XANADU OF TWO[L] (↑0 ↓2)
  PROMOTE 11.3 -> 11.4 | xenon (↑1 ↓0)
  PROMOTE 11.3 -> 11.4 | カゴノトリ～弐式～ (↑1 ↓0)
  PROMOTE 11.3 -> 11.4 | 千年ノ理 (↑1 ↓0)
  PROMOTE 11.2 -> 11.3 | A MINSTREL ～ ver. short-scape ～[L] (↑2 ↓0)
  PROMOTE 11.2 -> 11.3 | CUE CUE RESCUE[L] (↑1 ↓0)
  PROMOTE 11.2 -> 11.3 | 超青少年ノ為ノ超多幸ナ超古典的超舞曲 (↑1 ↓0)
  PROMOTE 11.2 -> 11.3 | 錬成人間トリコロイダー (↑1 ↓0)
  DEMOTE  11.1 -> 11.0 | R5 (↑0 ↓1)

既存ドラフト削除: 24件

ドラフト保存完了: 22ランク, 1287曲
変動楽曲: 234件
変動内容を draft_changes.json に保存しました
