rank_by_wp,a_title,a_diff,actual_a,slope,intercept,r,n,predicted_b,weight_r2,w_times_pred,predicted_over_max
30,GIGA VIOLATE,ANOTHER,2728,1.449092,-39.8540,0.9635,128,3913.2683,0.928291,3632.6516,False
31,Sirius,ANOTHER,3240,1.115094,346.7124,0.9576,302,3959.6171,0.917086,3631.3103,True
32,ベンガル vs. アムール Battle,ANOTHER,3688,0.949974,431.2787,0.9605,270,3934.7817,0.922550,3630.0328,False
33,JUSTICE/GUILTY feat. Nana Takahashi & 709sec.,ANOTHER,3880,1.151570,-511.2876,0.9575,328,3956.8054,0.916824,3627.6936,True
34,紫陽花 -AZISAI-,ANOTHER,2915,1.215599,482.2220,0.9486,301,4025.6932,0.899900,3622.7199,True
35,ユミル,ANOTHER,2860,1.417530,-98.5914,0.9570,224,3955.5431,0.915839,3622.6406,True
36,SPECIAL SUMMER CAMPAIGN!,ANOTHER,2982,1.376508,-174.8318,0.9600,335,3929.9154,0.921666,3622.0695,False
37,Garuda,ANOTHER,2622,1.542433,-77.3487,0.9555,150,3966.9096,0.912991,3621.7542,True
38,glacia,ANOTHER,2962,1.407487,-242.9314,0.9604,376,3926.0456,0.922286,3620.9387,False
39,ZZ,ANOTHER,3054,1.074912,648.2777,0.9597,374,3931.0592,0.921069,3620.7781,False
40,TIEFSEE,ANOTHER,3481,0.893705,808.5765,0.9608,366,3919.5637,0.923115,3618.2083,False
41,冬椿 ft. Kanae Asaba,LEGGENDARIA,3035,1.347551,-175.3069,0.9613,253,3914.5106,0.924153,3617.6052,False
42,Say YEEEAHH,ANOTHER,3295,1.093538,398.0826,0.9508,287,4001.2919,0.904043,3617.3379,True
43,Stereo Beasts,ANOTHER,3707,0.955009,415.4290,0.9562,317,3955.6457,0.914262,3616.4984,True
44,Here We Go Now,ANOTHER,3357,0.959803,760.6093,0.9529,282,3982.6686,0.908034,3616.3999,True
45,WONDER WALKER,ANOTHER,3813,0.830392,777.8282,0.9575,330,3944.1135,0.916838,3616.1124,False
46,Visterhv,ANOTHER,3717,0.850559,788.7606,0.9567,374,3950.2889,0.915309,3615.7354,True
47,KILL EACH OTHER,ANOTHER,3848,0.779341,969.9660,0.9544,341,3968.8703,0.910960,3615.4810,True
