曲管理番号	バージョン	曲名	Diff	Lv
1514	PENDUAL	CHRONO DIVER -NORNIR-	L	12
1515	PENDUAL	cinder	A	12
1516	Rootage	CoMAAAAAAA	L	12
1517	PENDUAL	Despair of ELFERIA	A	12
1518	HAPPY SKY	garden	L	12
1519	GOLD	GRID KNIGHT	L	12
1520	Pinky Crush	Here We Go Now	A	12
1521	EPOLIS	JUSTICE/GUILTY feat. Nana Takahashi & 709sec.	A	12
1522	EMPRESS	Kung-fu Empire	L	12
1523	Sparkle Shower	Lisa-RICCIA	A	12
1524	copula	M4K3 1T B0UNC3	A	12
1525	SIRIUS	mosaic	A	12
1526	CastHour	One for All	A	12
1527	CANNON BALLERS	Rampage	A	12
1528	PENDUAL	Rave*it!! Rave*it!!	A	12
1529	HEROIC VERSE	Rave Patroller	A	12
1530	Sparkle Shower	Regina vespaE	A	12
1531	RESIDENT	RINИE	A	12
1532	DJ TROOPERS	Ristaccia	A	12
1533	BISTROVER	rommmo	A	12
1534	PENDUAL	Say YEEEAHH	A	12
1535	EMPRESS	Secrets	L	12
1536	EPOLIS	Sirius	A	12
1537	PENDUAL	Sounds Of Summer	A	12
1538	copula	Super Duper Racers	L	12
1539	SINOBUZ	Super Rush	A	12
1540	HEROIC VERSE	THE BRAVE MUST DIE	A	12
1541	DJ TROOPERS	THE DEEP STRIKER	L	12
1542	EMPRESS	thunder HOUSE NATION Remix	L	12
1543	DJ TROOPERS	TROOPERS	A	12
1544	tricoro	Valanga	A	12
1545	DistorteD	waxing and wanding	L	12
1546	copula	Welcome	L	12
1547	tricoro	仮想空間の旅人たち	L	12
1548	DistorteD	華蝶風雪	L	12
1549	Pinky Crush	スパークリング☆彡ハイパーチューン！！	A	12
1550	BISTROVER	世界の果てに約束の凱歌を -ReUnion-	A	12
1551	RESIDENT	ちょえちょえまぎか	L	12
1552	EPOLIS	《PL|RAYER》	A	12
1553	Sparkle Shower	ベンガル vs. アムール Battle	A	12
1554	Rootage	龍王の霊廟(Mausoleum Of The Primal Dragon)	L	12
1615	SPADA	Adularia	A	12
1616	CastHour	Aftermath	A	12
1617	SPADA	ALBA -黎明-	L	12
1618	HEROIC VERSE	BEAT PRISONER	A	12
1619	Sparkle Shower	chaplet -IIDX re:build-	A	12
1620	copula	DIAMOND CROSSING	A	12
1621	Pinky Crush	DIVINE JUDGEMENT	A	12
1622	SINOBUZ	ECHIDNA	A	12
1623	Rootage	Ember Lights	L	12
1624	Sparkle Shower	FiZZλ_PØT!OИ	A	12
1625	PENDUAL	fallen leaves -IIDX edition-	A	12
1626	copula	Godspeed	A	12
1627	tricoro	Hollywood Galaxy	A	12
1628	Pinky Crush	NOIXIA	A	12
1629	copula	NZM	A	12
1630	Rootage	Painful Fate	A	12
1631	CANNON BALLERS	REVOLVER	L	12
1632	SINOBUZ	Snakey Kung-fu	A	12
1633	SINOBUZ	Steel Edge	A	12
1634	tricoro	Timepiece phase II (CN Ver.)	A	12
1635	SINOBUZ	TOGAKUSHI	A	12
1636	CastHour	Triple Cross	A	12
1637	SINOBUZ	Umbral	L	12
1638	Rootage	Unbelief	A	12
1639	Lincle	蛇神	L	12
1640	RESIDENT	神のシナリオ	A	12
1641	HEROIC VERSE	深淵に捧ぐレクイエム	A	12
1642	CastHour	烽火連天の刃	A	12
1643	EPOLIS	摩天楼	A	12
1644	CastHour	禊	A	12
1645	DJ TROOPERS	ミラージュ・レジデンス	L	12
1646	SPADA	海神	A	12
1647	SPADA	海神	L	12
1738	copula	AO-1	A	12
1739	IIDX RED	Be quiet	L	12
1740	Lincle	BLACK.by X-Cross Fade	A	12
1741	PENDUAL	BLUE MIRAGE	A	12
1742	CANNON BALLERS	Boomy and The Boost	A	12
1743	RESIDENT	Caldwell 99	L	12
1744	SINOBUZ	Caterpillar	A	12
1745	Rootage	CODE:Ø	L	12
1746	EPOLIS	Cult Invitation	A	12
1747	RESIDENT	dica dica	A	12
1748	CastHour	Don't believe the hype	A	12
1749	HEROIC VERSE	Double Dribble	A	12
1750	copula	Dynamite	A	12
1751	PENDUAL	FANTASTIC THREE	A	12
1752	Pinky Crush	FlyAway	A	12
1753	SINOBUZ	HADES	A	12
1754	Sparkle Shower	HEROES	A	12
1755	SPADA	HYENA	L	12
1756	SPADA	invoker	L	12
1757	HEROIC VERSE	LASER CRUSTER (IGNITE REMIX)	A	12
1758	BISTROVER	LOCUS OF THE TRAVEL	A	12
1759	HEROIC VERSE	Lords Of The Roundtable	A	12
1760	SPADA	MAD ATTACK	L	12
1761	Sparkle Shower	Makin' It	A	12
1762	SPADA	Miracle 5ympho X	L	12
1763	CANNON BALLERS	Papilio ulysses	A	12
1764	RESIDENT	Peaktime Booster	A	12
1765	tricoro	Plan 8	A	12
1766	CastHour	Purple Perplex	A	12
1767	CastHour	RAGE feat.H14 of LEONAIR	A	12
1768	SIRIUS	Red. by Full Metal Jacket	A	12
1769	Rootage	Red. by Jack Trance	A	12
1770	PENDUAL	Reflux	A	12
1771	SINOBUZ	SAMURAI-Scramble	L	12
1772	SINOBUZ	SAY BAY	A	12
1773	HAPPY SKY	SCREAM SQUAD	A	12
1774	HEROIC VERSE	SCREW // owo // SCREW	A	12
1775	Pinky Crush	Skratch Education Lv-1	A	12
1776	Lincle	Snake Stick	A	12
1777	EPOLIS	SOLAR ECLIPSE	A	12
1778	copula	STARLIGHT DANCEHALL	L	12
1779	CANNON BALLERS	The Chase	A	12
1780	BISTROVER	THE PEERLESS UNDER HEAVEN	A	12
1781	DJ TROOPERS	Time to Air	L	12
1782	CastHour	TOMAHAWK	A	12
1783	HEROIC VERSE	TRIUMPH	A	12
1784	Sparkle Shower	UNDO THE NIGHT	A	12
1785	EPOLIS	Vulnerability	A	12
1786	Resort Anthem	Watch Out Pt.2	A	12
1787	CastHour	WHA	A	12
