TITLE	NOTE(SP)					NOTE(DP)				TIME	MOVIE	LAYER
	B	N	H	A	L	N	H	A	L			
beatmania IIDX ▼ △												
Scarlet Moon	-	542	998	1389	-	555	989	1438	-	1:51	専用:GOLI	
Scars of FAUNA	-	435	871	1475	-	436	816	1424	-	2:00	tricoro TECHNO汎用	
Shooting Fireball	-	486	1181	1983	-	508	1148	1842	-	2:07	LEGEND CROSS UNKNOWN汎用+戦闘レイヤー	蒼弐
Sounds Of Summer	-	640	1080	1513	-	617	1006	1599	-	1:53	Lincle POPS汎用+レイヤー	蒼弐・NAGI・かーる・Fukutomi wave
SpaceLand☆TOYBOX	-	552	900	1501	-	585	951	1528	-	1:45	10th POPS汎用+ミスレイヤー	kaeru
Sweet Radar	-	338	689	1020	-	345	586	1000	-	2:10	Lincle POPS汎用	
Symmetry	-	586	1082	1659	-	535	1118	1681	-	2:00	Chrono Seeker BOSS汎用+戦闘レイヤー	NAGI
TA・DA☆YO・SHI	-	579	849	1180	-	544	858	1145	-	2:02	専用:Fukutomi wave	
The Least 100sec	-	414	762	1505	-	496	774	1369	-	1:42	専用:770	
TIEFSEE	-	653	1096	1752	-	630	1099	1767	-	2:07	Lincle CYBER汎用	
TOXIC VIBRATION	-	831	1248	1933	-	872	1376	2134	-	2:07	専用:いそにん	
Vulkan	-	527	1030	1518	-	582	1120	1618	-	1:55	SIRIUS CYBER汎用+ミスレイヤー	square_head_dopestyle
We're so Happy (P*Light Remix) IIDX ver.	-	600	1187	1896	-	598	1197	1716	-	1:59	Lincle POPS汎用	
ZZ	102	667	1042	1541	-	665	1019	1647	-	1:52	PENDUAL PRESENT汎用	
妖隠し -あやかしかくし-	-	489	803	1103	-	535	822	1380	-	2:06	専用:NAGI	
十六夜セツナ	-	521	823	1132	-	662	917	1235	-	2:02	専用:Kiyoshi Tanada(Motion Combat)	
鬼天	-	519	889	1265	-	576	960	1467	-	1:51	GOLD TECHNO汎用	
共鳴遊戯の華	-	669	1296	2000	-	654	1395	2054	-	2:06	専用+戦闘レイヤー	GOLI
恋は白帯、サンシロー	-	377	664	1021	1395	409	635	955	1494	2:02	専用:小美野昌史	
#The_Relentless	-	611	1028	1479	2273	592	929	1626	2265	2:09	専用:murAta Yuzi	
少年は空を辿る	-	644	1081	1729	-	644	1092	1908	-	2:05	PENDUAL PRESENT汎用	
白露の風	-	240	639	1018	-	223	555	951	-	2:00	10th AMBIENT汎用	
時空トラベローグ	-	571	983	1395	-	546	975	1313	-	1:58	Chrono Seeker汎用+レイヤー	Fukutomi WAVE
千年ノ理	-	602	1008	1608	2183	680	931	1774	2190	2:05	専用:菌類 (・∀・) 冬虫夏草	
それは花火のような恋	354	649	1321	1976	-	664	1261	1930	-	2:05	専用:もとこ	
打打打打打打打打打打	100	419	701	1342	-	479	770	1301	-	1:44	専用:菌類	
超青少年ノ為ノ超多幸ナ超古典的超舞曲	-	531	1028	1350	2110	529	973	1651	2257	2:00	専用:OTAS	
Ｘ↑Ｘ↓	-	477	907	1485	-	559	1035	1658	-	2:04	SIRIUS CYBER汎用	
取り残された美術(Arranged:HiZuMi)	126	495	882	1111	-	393	745	1158	-	1:44	専用:もとこ	
とろぴかる倶楽部	-	432	755	1154	-	559	890	1149	-	1:47	Chrono Seeker汎用+レイヤー	NAGI
ドッキン☆サマーあばんちゅーる	-	531	907	1447	-	517	975	1452	-	2:05	専用:もとこ(イラスト:NAGI)*4	
夏色DIARY - L.E.D.-G STYLE MIX -	-	505	1031	1590	-	495	1135	1377	-	1:56	専用:NASU + BeatStream Designers	
パ→ピ→プ→Yeah!	190	527	814	1280	-	503	923	1348	-	1:44	専用:も→と→こ→菌類！	
表裏一体！？怪盗いいんちょの悩み♥	-	580	1127	1815	2334	716	1322	2122	2390	2:05	Lincle POPS汎用+レイヤー	いそにん
ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！	-	453	756	1285	-	386	728	1243	-	1:59	Lincle POPS汎用+レイヤー	菌類
ベィスドロップ・フリークス	-	323	651	1143	1275	424	626	1220	1252	1:55	Lincle POPS汎用+レイヤー	あおにゃん♡
紅牡丹	249	544	929	1445	-	599	930	1291	-	1:44	8th POPS汎用	
もっと！モット！ときめき feat. 松下	-	707	1061	1424	-	573	945	1266	-	2:08	Lincle POPS汎用+レイヤー	NAGI
リリーゼと炎龍レーヴァテイン	-	504	1186	1771	-	567	1264	1848	-	1:49	専用:いそにん	
beatmania IIDX 23 copula ▲ ▼ △												
Acid Pumper	-	348	812	1267	-	392	850	1221	-	1:58	Resort Anthem DANCE汎用+レイヤー	かーる
Angelic Jelly	-	579	1058	1419	-	592	1019	1447	-	1:58	tricoro CYBER汎用	
AO-1	-	643	999	1443	-	671	1087	1456	-	1:47	Resort Anthem DANCE汎用+レイヤー	NAGI
Arcana	-	613	893	1150	-	605	913	1172	-	1:54	Lincle CYBER汎用+レイヤー	NAGI
Aublia	-	495	785	1299	-	513	836	1262	-	2:02	専用:Ta-k, pam, nakasima(DRAWIZ,Inc.)	
Battle Train -IIDX Edition-	-	454	1302	1687	-	714	1218	1949	-	2:05	専用:L.E.D.による「ネオコントラ」のプレイ動画	
Blue Spring Express	-	664	1087	1728	-	585	1013	1602	-	1:51	専用:NAGI	
Central Station	-	527	803	1223	-	467	806	1285	-	1:59	tricoro CYBER汎用+レイヤー	Fukutomi WAVE
chaos eater -IIDX edition-	-	604	887	1328	-	683	905	1442	-	1:52	tricoro TECHNO汎用+レイヤー	かーる
CODE:1 [revision1.0.1]	-	497	887	1590	-	476	877	1685	-	1:55	6th CYBER汎用	
Daily Lunch Special	-	549	1098	1494	-	554	1102	1622	-	2:11	4th HOUSE汎用	
Damage Per Second	-	447	718	1026	1153	415	705	1056	1238	1:53	専用:HES	
Derelict Star feat. Ryu*	-	709	977	1336	-	622	1014	1378	-	2:00	PENDUAL FUTURE汎用	
Devil's Gear	-	548	1152	1793	-	573	1163	1782	-	2:08	SIRIUS CYBER汎用+レイヤー	NAGI
DIAMOND CROSSING	-	509	917	1585	-	688	979	1681	-	1:46	copula TRANSPORT汎用+レイヤー	NAGI
do the thing feat. Kanae Asaba	-	321	777	1171	-	323	741	1251	-	1:59	専用:Seventhgraphics	
Donkey Donk	-	611	892	1150	-	560	976	1154	-	2:02	Resort Anthem DANCE汎用	
Dynamite	276	611	1246	1953	-	775	1194	2084	-	2:07	SPADA HARDCORE汎用+ミスレイヤー	GOLI
Everlasting Last	-	427	836	1124	-	555	809	1237	-	2:01	専用:Kiyoshi Tanada(Motion Combat)	
Exchange Place	-	388	646	903	-	408	629	907	-	2:06	7th HOUSE汎用	
GENERATE feat.綾倉盟	-	573	892	1182	-	566	941	1234	-	2:05	copula JAPANESQUE汎用+レイヤー	かーる
Go Faraway	-	520	766	1259	-	571	931	1363	-	2:06	PENDUAL PRESENT汎用	
GOBBLE	-	252	369	866	-	369	917	917	-	1:32	専用:Yasi	
Godspeed	-	545	1002	1631	-	705	1112	1707	-	1:41	専用:NAGI xxx かーる xxx へす子	
Grand Chariot	-	588	989	1775	-	620	1035	1866	-	2:02	Resort Anthem DANCE汎用	
Highcharge Divolt	-	456	889	1421	-	527	863	1431	-	1:55	8th TECHNO汎用+レイヤー	NAGI
Inner Spirit	-	446	985	1458	-	476	989	1550	-	2:02	専用:T田	
Journey	-	351	639	950	1585	353	728	1010	1556	1:56	10th AMBIENT汎用	
Konzert V	-	653	1181	1710	-	669	1132	1559	-	2:02	PENDUAL PRESENT汎用+レイヤー	VJ GYO
La dolce primavera	-	360	707	1098	-	367	753	1291	-	1:48	10th POPS汎用+レイヤー	NAGI
M4K3 1T B0UNC3	-	713	1082	1546	-	675	1062	1521	-	1:59	専用:ni-is	
Musik LoverZ	-	539	722	1268	-	538	709	1155	-	1:59	専用:murAta Yuzi	
NANAIRO	-	536	935	1308	-	485	1000	1271	-	1:54	Lincle POPS汎用	
Nightmare before oversleep	-	605	988	1500	-	665	975	1580	-	2:00	tricoro TECHNO汎用+レイヤー	かーる
NINJA IS DEAD IIDX ver.	-	627	989	1520	-	622	954	1500	-	1:54	6th CYBER汎用	
NO LIMIT -オレ達に限界は無い-	-	420	631	1148	-	393	623	1017	-	2:00	専用:Fukutomi WAVE、VJ GYO	
Nowhere	-	441	759	1100	-	488	818	1182	-	1:58	専用:Taiyo Yamamoto	
NZM	-	547	831	1783	-	550	1065	1782	-	2:03	9th TECHNO汎用+レイヤー	NAGI xxx かーる xxx へす子
On the FM	-	573	821	1419	-	627	814	1249	-	1:43	7th TECHNO汎用+レイヤー	NAGI
Outbreak	-	675	933	1523	-	658	914	1548	-	1:59	SPADA HARDCORE汎用+ミスレイヤー	GOLI
POSSESSION	272	701	1105	1521	-	708	1167	1711	-	1:51	専用:DDR X2	
quick master (reform version)	-	80	178	264	-	128	225	312	-	1:29	8th POPS汎用	
refrain	-	622	1208	1857	-	633	1094	1856	-	1:55	PENDUAL PRESENT汎用+レイヤー	ヒゲタカ
Rock It	-	590	859	1500	-	569	931	1556	-	1:59	SIRIUS CYBER汎用+レイヤー	HES
Routing	-	482	860	1323	-	575	918	1285	-	1:57	専用:nasu*5	
Sephirot	-	485	848	1193	-	483	842	1161	-	2:01	PENDUAL PRESENT汎用	
Set U Free feat. Kanae Asaba	-	478	812	1290	-	476	802	1433	-	1:59	Lincle CYBER汎用	
SHELTER OF THE MIND	-	722	1020	1538	-	645	1037	1484	-	2:13	PENDUAL FUTURE汎用+ミスレイヤー	GOLI
STARLiGHT	-	482	944	1413	-	535	954	1481	-	2:05	7th TRANCE汎用	
STARLIGHT DANCEHALL	-	648	939	1342	1712	705	1007	1435	1814	1:54	専用:TOHRU MiTSUHASHi	
StrayedCatz	-	557	1052	1490	-	515	831	1376	-	2:02	GOLD TRANCE汎用	
Super Duper Racers	-	480	821	1199	1857	499	830	1200	1850	1:59	PENDUAL FUTURE汎用	
SURVIVOR	-	363	658	1014	-	494	703	1135	-	2:03	専用:NATSU	
Tori-no-kimochi	-	133	662	1030	-	310	730	1030	-	2:13	GOLD TRANCE汎用	
Triple Counter	-	716	1145	2016	-	711	1193	1997	-	2:02	専用:KINRUI	
Uh-Oh	-	568	891	1228	-	580	808	1182	-	2:04	copula TRANSPORT汎用	
Violet Pulse	-	216	883	1252	2115	212	923	1327	2139	2:02	PENDUAL FUTURE汎用	
Violet Rose	-	642	1038	1333	-	654	1071	1384	-	1:52	専用:Aono.Y	
Welcome	-	440	919	1357	1701	727	967	1326	1762	2:03	専用:ackermann	
X	-	811	1277	1952	-	802	1377	2086	-	2:03	専用+ミスレイヤー	GOLI
ZEPHYRANTHES	-	514	943	1499	1982	510	983	1599	1985	2:02	Resort Anthem DANCE汎用	
199024club -Re:BounceKiller-	-	360	873	1260	-	370	853	1210	-	2:04	8th TECHNO汎用+レイヤー	NAGI
朝焼けから始まるボクらの小さな旅	-	490	882	1298	-	478	858	1369	-	2:00	Lincle POPS汎用	
紫陽花 -AZISAI-	212	655	1094	1490	1815	675	1118	1496	1813	2:04	専用:HES	
麗 ～うらら～	132	577	903	1329	-	603	1006	1363	-	2:01	copula JAPANESQUE汎用+ミスレイヤー	Fukutomi_WAVE
駅猫のワルツ	-	601	1174	1558	-	515	1147	1635	-	1:48	"専用
撮影:VJ GYO&NAGI、編集:かーる、
度胸オーバーレイ:チャーム・シスターズ(あねじゃ))"	
オルタネイトβ	-	424	725	1137	-	388	701	1331	-	2:04	専用:Kiyoshi Tanada(Motion Combat)	
か・し・ま・し☆PUMP UP！	-	607	966	1453	-	607	941	1501	-	2:00	専用:GOLI	
ギョギョっと人魚♨爆婚ブライダル	-	418	743	1209	-	428	805	1164	-	1:58	専用:NAGI	
灼熱 Pt.2 Long Train Running	316	675	1093	1804	-	664	1031	1732	-	2:01	専用:Minako Endo	
シュッパツシンコウ・シサカンコ	-	568	904	1234	-	558	878	1365	-	2:02	専用:小美野昌史	
少女アリスと箱庭幻想コンチェルト	-	390	761	1095	-	440	819	1259	-	2:00	専用:NAGI	
真 地獄超特急 -HELL or HELL-	-	737	1123	1727	-	769	1175	1773	-	2:06	Resort Anthem DANCE汎用+ミスレイヤー	GOLI
セロトニン	-	677	947	1194	-	676	948	1231	-	2:00	専用:Hiromitsu Kawasaki	
追想快晴テーマパーク	-	615	1077	1589	-	638	1110	1573	-	2:01	copula TRANSPORT汎用	
星屑ディスタンシア	-	353	619	1073	-	347	624	1000	-	1:59	専用:ISA(+ヒゲタカ)	
明鏡止水	-	438	976	1443	-	416	862	1346	-	2:06	専用:大阪土壽頭テリヤキ, はぐ	
めいさいアイドル☆あいむちゃん♪	-	777	1202	1717	-	696	1248	1837	-	2:04	8th TECHNO汎用+ミスレイヤー	VJ GYO
量子の海のリントヴルム	-	468	919	1508	-	469	940	1407	-	1:53	専用:いそにん	
beatmania IIDX 24 SINOBUZ ▲ ▼ △												
Amazing Mirage	189	458	894	1343	1684	459	931	1413	1671	1:59	専用:T田	
AO-∞	-	601	952	1375	-	534	872	1351	-	2:04	tricoro CYBER汎用	
Apocalypse	-	580	1096	1814	-	580	1081	1953	-	2:15	GOLD TECHNO汎用	
Around The Galaxy	-	570	1080	1714	-	759	1398	1940	-	2:24	専用:OTAS	
AsiaN distractive	-	606	911	1337	-	617	922	1385	-	2:02	専用:Hiromitsu Kawasaki,Ryuto Takano	
BabeL ～Grand Story～	-	662	1097	1432	-	652	1079	1517	-	2:05	tricoro TECHNO汎用	
Be A Star	-	487	925	1413	-	518	897	1334	-	2:00	tricoro CYBER汎用	
Beat Juggling Mix	-	531	837	1138	-	533	859	1171	-	1:56	6th DANCE汎用+レイヤー	いそにん
Believe in you	-	604	955	1226	-	582	924	1251	-	2:04	copula TRANSPORT汎用+レイヤー	NASU
Beyond The Seven	-	373	671	1375	-	472	733	1387	-	2:01	専用:pam,Ta-k	
BREAK OVER	-	462	785	1210	-	427	712	1193	-	2:10	専用:murAta Yuzi	
Breakin' Chain	-	362	669	1169	-	461	811	1241	-	1:58	10th HOUSE汎用+レイヤー	KINRUI
BroGamer	-	699	1099	1568	2383	667	1098	1575	2342	2:09	専用:nasu	
Caterpillar	-	617	1129	1561	-	626	1064	1681	-	2:02	PENDUAL FUTURE汎用+レイヤー	NAGI
crew	-	317	885	1480	-	339	946	1574	-	※	専用	
Cyber True Color	-	504	863	1207	-	481	831	1216	-	2:02	tricoro CYBER汎用	
DORNWALD ～Junge～	-	655	1163	1903	-	684	1230	1871	-	2:09	専用:NAGI	
ECHIDNA	-	665	1111	1775	-	642	1084	1822	-	1:58	tricoro TECHNO汎用+レイヤー	GYO
Egret and Willow	-	527	848	1383	-	533	847	1286	-	2:10	copula JAPANESQUE汎用+レイヤー	かーる
elemental bender feat. Kanae Asaba	-	326	606	826	-	319	609	846	-	2:00	7th TRANCE汎用	
FUZIN RIZIN	-	609	1008	1929	-	650	944	1931	-	2:03	SINOBUZ JAPANESQUE汎用+ミスレイヤー	GOLI
Go Ahead!!	-	521	810	1413	-	498	792	1403	-	2:03	Lincle CYBER汎用+ミスレイヤー	NAGI
GuNGNiR	-	684	1397	2081	2443	681	1420	2175	2428	2:09	SPADA HARDCORE汎用+レイヤー	かーる
HADES	197	500	950	1601	-	475	964	1564	-	2:01	専用:Kaito	
HAPPY★RUSH	-	400	982	1490	-	463	978	1468	-	2:02	Lincle POPS汎用	
Honey Trap	-	422	822	1284	-	435	822	1286	-	2:03	専用:KINRUI	
INVISIBLE STRIX	-	601	1074	1331	-	600	1081	1383	-	2:07	専用:pam,Ta-k	
Lost wing at.0	-	475	752	1261	-	418	709	1297	-	2:04	専用:アキ	
Macuilxochitl	267	752	1147	1677	-	768	1042	1546	-	1:53	GOLD TRANCE汎用	
Magical	-	410	601	1011	-	410	635	1028	-	2:07	専用:NAGI	
Mare Nectaris	-	746	1116	2094	-	746	1081	1862	-	2:06	copula JAPANESQUE汎用+レイヤー	GOLI
Modular Technology	-	638	1006	1372	-	631	973	1365	-	1:50	専用:Lynx	
Music is The Answer	-	403	726	977	-	402	766	1062	-	1:55	専用:cap	
nostos	-	471	722	1359	-	486	814	1324	-	2:14	専用	
OOO	-	349	737	1034	1336	373	714	1044	1530	1:56	10th POPS汎用+ミスレイヤー	shio忍
OTENAMI Hurricane	-	670	1135	1643	-	654	1133	1743	-	2:02	SINOBUZ JAPANESQUE汎用+レイヤー	よしまさ
PAPAYAPA BASS	-	397	788	1428	-	485	802	1362	-	2:02	10th POPS汎用+ミスレイヤー	KAERU
Piano Samurai	-	546	909	1265	-	501	903	1251	-	2:04	専用(公式MV):ひやけ(ILLUSTRATION), Parmy(EDIT)	
Quakes	-	577	1080	1654	-	559	1066	1613	-	1:56	GOLD TECHNO汎用+レイヤー	ちっひ
RAIN	-	588	928	1657	-	603	1038	1755	-	1:54	10th TECHNO汎用	
Rave Cannon	-	538	946	1700	-	546	975	1597	-	2:04	SINOBUZ POPS汎用+ミスレイヤー	GOLI
Remedy feat. Kanae Asaba	-	468	835	1116	-	457	809	1163	-	2:02	6th EURO汎用	
ROTTERDAM SHOGUN	274	574	930	1299	-	562	919	1411	-	1:56	専用:エビマヨ推しのくノ一忍者なす	
SAMURAI-Scramble	-	511	865	1232	1576	559	957	1299	1572	2:09	10th TECHNO汎用+ミスレイヤー	NAGI
Sarutobi Champion is 拙者	-	503	809	1153	-	525	817	1425	-	1:48	SINOBUZ JAPANESQUE汎用	
SAY BAY	-	429	771	1455	-	480	796	1420	-	1:57	専用:Taiyo Yamamoto	
Seaside Labyrinth	-	332	667	953	-	330	620	972	-	2:02	専用:いそにん	
Selfish Sweet	-	327	493	877	1395	323	496	905	1307	1:55	6th HOUSE汎用	
SEQUENCE CAT	-	551	1128	1446	-	640	1333	1985	-	2:04	専用:Ryousuke Takeuchi (D.B.D) + Naoya Miyadai (D.B.D)	
shuriken	-	396	573	1298	-	387	660	1321	-	1:58	SINOBUZ JAPANESQUE汎用+ミスレイヤー	shio忍,NAGI忍
SINOBUZ Fantasy	-	522	867	1228	-	523	904	1206	-	2:04	SINOBUZ POPS汎用	
Sky High	222	603	1205	1943	-	589	1192	1918	-	2:03	専用:GOLI	
Snakey Kung-fu	-	563	1110	1751	-	539	1122	1799	-	2:09	専用:忍々撮影隊	
Steel Edge	-	466	759	1604	-	487	938	1392	-	2:03	SINOBUZ JAPANESQUE汎用+レイヤー	HES
Summerlights(IIDX Edition)	-	581	949	1580	-	583	960	1654	-	2:02	10th HOUSE汎用	
Super Rush	-	523	953	1791	-	574	1007	1719	-	2:07	専用:alo	
Surf on the Light	-	399	760	1154	-	412	880	1198	-	2:00	PENDUAL PRESENT汎用	
The Commanders	-	486	764	1227	-	485	803	1282	-	2:06	PENDUAL FUTURE汎用	
(This Is Not) The Angels	-	309	739	1364	-	372	776	1304	-	1:56	専用:Minako Endo	
TOGAKUSHI	-	526	987	1343	-	493	920	1333	-	1:58	専用:Seventhgraphics	
Umbral	-	311	720	966	1566	314	675	1032	1512	2:00	専用:lied	
Venom	-	656	1110	1624	-	641	1106	1451	-	2:06	PENDUAL FUTURE汎用	
Vermilion	-	460	704	1043	-	459	678	1055	-	1:40	10th HOUSE汎用	
Warrior	-	517	914	1257	-	512	880	1251	-	2:04	SINOBUZ JAPANESQUE汎用+レイヤー	square_head
XINOBIKILL	-	506	910	1475	-	558	1074	1566	-	2:04	PENDUAL FUTURE汎用	
yamabiko (SINOBUZ Edition)	-	499	823	1345	-	480	836	1299	-	2:04	copula JAPANESQUE汎用	
Yellow Sketch(RX-Ver.S.P.L.)	-	389	943	1479	-	387	1010	1545	-	2:02	10th TRANCE汎用+レイヤー	かーる
イザナミノナゲキ	-	605	1007	1661	-	637	962	1769	-	1:59	copula JAPANESQUE汎用+レイヤー	かーる
焔極OVERKILL	-	598	1118	1901	-	672	1252	1984	-	2:01	GOLD TECHNO汎用+ミスレイヤー	NAGI
禍根	-	411	704	1336	-	427	753	1219	-	1:55	PENDUAL PRESENT汎用+レイヤー	かーる
鴉	-	763	1136	1356	-	741	1130	1346	-	1:58	専用:GOLI+ミスレイヤー	GOLI
九尾狐夜行	-	438	912	1521	-	456	948	1530	-	1:54	専用:アキ	
恋はどう？モロ◎波動OK☆方程式!!	-	518	805	1247	-	513	775	1028	-	1:53	専用:Ray	
獅子霞麗ノ舞	-	252	550	873	-	250	526	938	-	1:59	専用:Aono.Y	
忍恋花	-	515	867	1141	-	508	856	1330	-	1:44	専用:菌類	
〆	-	657	1198	1877	-	665	1198	1933	-	2:05	SINOBUZ JAPANESQUE汎用+ミスレイヤー	XTC
次葉 -turn the page-	-	427	716	1003	-	427	693	1073	-	1:47	SINOBUZ JAPANESQUE汎用+ミスレイヤー	GOLI
ちらちら・はらはら	-	207	475	715	-	203	483	742	-	2:03	専用:公式MV	
津軽雪	-	784	1137	1953	-	844	1165	2101	-	2:10	tricoro TECHNO汎用+レイヤー	NAGI
月雪に舞う華のように	-	437	683	1083	-	446	722	1053	-	2:16	copula JAPANESQUE汎用	
ディッシュウォッシャー◎彡おいわちゃん	-	366	736	1280	-	386	761	1292	-	1:53	SINOBUZ POPS汎用+ミスレイヤー	GOLI
童話回廊	-	484	905	1592	-	483	912	1478	-	1:52	専用:Ko-Ku	
刃図羅	-	626	1082	1746	-	590	1089	1790	-	2:09	専用:NAGI	
焱影	-	366	723	1437	-	440	780	1431	-	2:00	SINOBUZ JAPANESQUE汎用+レイヤー	壱
¡Viva!	-	492	825	1014	-	444	838	1206	-	1:50	専用:KINRUI	
冬椿 ft. Kanae Asaba	131	482	633	1146	1535	474	621	1114	1509	2:01	専用:Kaito	
#MAGiCVLGiRL_TRVP_B3VTZ	-	588	991	1753	-	592	956	1500	-	1:59	Lincel POPS汎用	
beatmania IIDX 25 CANNON BALLERS ▲ ▼ △												
AA -rebuild-	-	646	1253	1820	-	712	1192	1752	-	2:01	専用:Seventhgraphics	
Abraxas	-	403	844	1241	-	414	921	1254	-	2:03	専用:pam、Ta-k	
ACCELERATE	-	597	895	1261	-	561	869	1328	-	2:07	SINOBUZ POPS汎用+レイヤー	BEMANI Designers "かーる"
Alpheratz	-	218	519	1049	-	281	574	1023	-	2:04	PENDUAL PRESENT汎用	
Amor De Verão	-	404	728	1193	-	452	729	1206	-	1:59	SINOBUZ POPS汎用+レイヤー	BEMANI Designers "NAGI"
ANAGMA	-	522	925	1339	-	520	952	1327	-	2:04	SIRIUS CYBER汎用	
ANCHOR	-	680	1288	1835	-	678	1265	1830	-	2:04	専用:BEMANI Designers "NAGI"	
Antigravity	-	535	1043	1591	-	558	1001	1467	-	1:55	専用:#Minako_Endo	
Arca	-	468	961	1602	-	485	975	1606	-	2:07	SPADA HARDCORE汎用	
Around the Future	-	561	892	1329	-	570	942	1385	-	2:08	8th CYBER汎用+ミスレイヤー	BEMANI Designers "NAGI"
Back Spin Sweeper	-	438	717	1156	-	442	778	1205	-	2:04	専用:cap	
Battleground	-	595	968	1361	-	587	900	1304	-	2:04	専用:Hiromitsu Kawasaki	
Be a Hero!	-	394	1006	1592	-	494	921	1627	-	2:06	SINOBUZ POPS汎用	
Best of Me	-	413	810	1127	-	409	761	1121	-	2:03	専用:Taiyo Yamamoto	
Boomy and The Boost	211	538	1042	1826	-	576	1088	1798	-	2:08	Lincle POPS汎用+ミスレイヤー	BEMANI Designers "VJ GYO"
Break Stasis	-	673	980	1274	-	670	990	1282	-	2:00	専用:Aono.Y	
ChaserXX	-	560	988	1453	2000	571	953	1410	1957	2:04	専用:BEMANI Designers "T田"	
Chemical Cookie	-	419	739	1081	-	389	724	1061	-	1:40	SINOBUZ POPS汎用+レイヤー	BEMANI Designers "?:球Q、?:蒼弐"
City Never Sleeps (IIDX EDITION)	-	668	977	1344	-	666	979	1377	-	2:06	GOLD TRANCE汎用	
COSMIC☆WONDER☆REVOLUTION	-	389	722	1049	-	438	694	1026	-	1:48	SINOBUZ POPS汎用+レイヤー	BEMANI Designers "Fukutomi WAVE"
DEADHEAT	-	606	1066	1721	-	611	1074	1757	-	1:57	7th TECHNO汎用+ミスレイヤー	BEMANI Designers "XTC"
DEATH†ZIGOQ ～怒りの高速爆走野郎～	-	710	1272	2075	2459	732	1262	1999	2459	1:55	Lincle CYBER汎用+レイヤー	BEMANI Designers "HES"
DropZ-Line-	-	696	1101	1648	-	677	1040	1771	-	2:00	SIRIUS CYBER汎用	
Eine Haube ～聖地の果てにあるもの～	-	493	728	1321	-	503	765	1346	-	1:52	Lincle POPS汎用	
EMERALDAS	265	704	1258	1833	-	691	1293	1763	-	1:54	専用:BEMANI Designers "minoru"	
encounter	-	494	907	1679	-	505	886	1709	-	2:04	PENDUAL FUTURE汎用	
Exhaust Hype	-	523	994	1426	-	503	963	1393	-	2:02	専用:Lynx	
Expanded !!	-	341	788	1324	-	341	759	1377	-	2:11	専用:CIMBAL CINTA	
Fervidex	-	432	915	1361	-	427	912	1397	-	2:08	専用:BEMANI Designers "かーる"	
FREEDOM	-	511	880	1481	-	507	852	1482	-	2:05	専用:murAta Yuzi	
From Time To Time	-	404	983	1293	-	404	983	1293	-	2:07	10th TRANCE汎用	
FUTURE is Dead	-	467	767	1151	-	443	740	1095	-	1:57	専用:Hiromitsu Kawasaki	
Get Up! feat. Kanae Asaba	-	296	645	966	-	341	686	1000	-	1:58	6th HOUSE汎用	
HAT TRICK	-	438	732	1118	-	465	777	1215	-	1:54	専用:murAta Yuzi	
Hella Deep	-	325	538	959	-	328	554	959	-	2:03	専用:alo	
HYPE THE CORE	-	565	1044	1539	-	564	1046	1871	-	1:51	専用:VJ IM	
I Love You	-	540	970	1381	-	536	971	1379	-	2:04	Resort Anthem DANCE汎用	
Illusionary Waterlily	-	667	1164	1803	-	687	1225	1740	-	2:03	専用:BEMANI Designers	
Initiation	330	762	1277	2018	-	817	1338	2018	-	2:06	専用:BEMANI Designers "Kaito"	
Life Is A Game ft.DD"ナカタ"Metal	-	642	999	1775	-	698	1169	1667	-	2:05	SPADA HARDCORE汎用+ミスレイヤー	BEMANI Designers "XTC"
LUV DRIVE	-	419	683	1075	-	480	670	1103	-	2:00	4th HOUSE汎用	
MAXIVCORD	-	413	752	1256	-	418	771	1175	-	1:38	専用:ケイ壱(QMA MAXIVCORD デモムービー)	
Midnight Lady	-	323	596	979	-	325	572	1035	-	2:05	専用:Minako Endo	
n'pa pa BBQ	-	469	892	1408	-	531	909	1423	-	1:58	SINOBUZ POPS汎用+ミスレイヤー	BEMANI Designers
NITROUS CANNON	-	713	1055	1875	-	696	1054	1852	-	2:08	Lincle CYBER汎用	
No Limit 2 dAnce feat. 大山愛未	-	495	793	1182	-	479	770	1145	-	2:01	5th DANCE汎用	
Nothing but Theory	-	556	811	1438	1890	601	910	1397	-	2:04	専用:alo	
O/D*20	-	581	854	1071	1984	659	1013	1246	2049	1:56	tricoro TECHNO汎用	
Only for now	-	459	797	1138	-	503	807	1128	-	2:02	CANNON BALLERS RACING汎用+レイヤー	BEMANI Designers "とっきー"
Papilio ulysses	-	614	1080	1498	-	619	1069	1452	-	2:02	専用:BEMANI Designers	
Persephone	-	690	1007	1539	-	669	1142	1573	-	2:02	SPADA HARDCORE汎用+レイヤー	BEMANI Designers "かーる"
Rampage	-	653	1257	1831	-	648	1253	1983	-	2:16	SPADA HARDCORE汎用+ミスレイヤー	BEMANI Designers "GOLI"
Raspberry Railgun	-	719	1155	1606	-	673	1067	1694	-	2:06	10th POPS汎用+レイヤー	BEMANI Designers
REVOLVER	-	471	844	1405	1731	456	833	1374	1715	1:45	PENDUAL PRESENT汎用	
Sleepless days	-	255	456	788	-	260	455	789	-	1:30	専用:ケイ壱(QMA THE WORLD EVOLVE デモムービー)	
Slipstream	-	546	1054	1822	-	566	1001	1717	-	2:11	専用:pam、nakasima、Ta-k	
