SP					DP				BPM	GENRE	TITLE	ARTIST	
B	N	H	A	L	N	H	A	L					
beatmania IIDX ▼ △													
-	7	10	12	"[CN]
12"	7	10	12	"[CN]
12"	154	トレンディートランス	Dances with Snow Fairies	Dr.Honda	
-	6	8	10	-	6	8	10	-	195	GIRLY ROCK	DAYDREAMER	ピンクターボ	
-	5	9	11	-	5	9	11	-	155	ELECTRIC STEP	Destiny Sword	CAPACITY GATE	
-	6	9	10	-	6	9	11	-	155	SPEED RAVE	DM STAR～関西 energy style～	NAOKI	
-	"[CN]
[BSS]
6"	"[CN]
[BSS]
8"	"[CN]
[BSS]
11"	-	"[CN]
[BSS]
6"	"[CN]
[BSS]
8"	"[CN]
[BSS]
11"	-	170	HARDCORE	Energy Drive	kevin energy	
-	2	5	7	-	2	5	7	-	84	WINTER BALLADE	Eternal Tears	ツガル	
-	"[CN]
[BSS]
4"	"[CN]
[BSS]
7"	"[CN]
[BSS]
10"	-	"[CN]
[BSS]
5"	"[CN]
[BSS]
7"	"[CN]
[BSS]
10"	-	148	ONLY ONE ANTHEM	Everlasting Resort	SUPER STAR 満-MITSURU-	
1	3	8	10	-	4	8	10	-	165	HYPER FANTASIA	Fantasia	TЁЯRA	
-	"[CN]
5"	"[CN]
8"	"[CN]
10"	"[HCN]
[HBSS]
11"	"[CN]
5"	"[CN]
9"	"[CN]
10"	"[HCN]
[HBSS]
11"	130	NU DISCO	Golden Palms	Dirty Androids	
-	3	7	9	-	4	7	10	-	175	DRUM & BASS	I FIGHT ME	kobo feat. Marsha	
-	"[CN]
5"	"[CN]
9"	"[CN]
11"	-	"[CN]
4"	"[CN]
9"	"[CN]
12"	-	146	ENERGETIC HAWAIIAN TRANCE	Kailua	kors k	
-	6	9	11	-	5	8	11	-	175	UK HARDCORE	Let The Track Flow	Brisk & Ham	
-	4	6	9	-	4	6	9	-	173	MAGICAL POP	Medicine of love	イロハ＆リリナ	
3	5	8	10	-	6	8	10	-	140	BUBBLEGUM DANCE	Mermaid girl	Cream puff	
-	4	8	11	-	5	9	11	-	170	IIDX HANDZ UP!!	Never Fade Away	Sota Fujimori feat. dj MAX STEROID	
-	6	"[CN]
10"	"[CN]
12"	-	6	10	12	-	120-180	DYSTOPIA	New Castle Legions	Dirty Androids	
-	"[CN]
7"	"[CN]
11"	"[CN]
12"	-	"[CN]
7"	"[CN]
10"	"[CN]
12"	-	200	TRANCE CORE	PARADISE LOST	Ryu☆ Vs. L.E.D.-G	
-	6	8	10	-	6	9	11	-	149	HANDZ UP	passionate fate	Ryu☆	
-	"[CN]
7"	"[CN]
11"	"[CN]
12"	-	"[CN]
7"	"[CN]
11"	"[CN]
12"	-	172	ANTHEM CORE	perditus†paradisus	iconoclasm	
-	6	9	10	-	6	9	11	-	145	PSY TRANCE(FULL ON)	Programmed Life	kors k	
3	8	11	12	-	8	11	12	-	184	CYBER WALTZ	reunion	Tatsh	
-	5	9	11	-	5	8	10	-	175	UK HARDCORE	Rock Da House	M-Project fw. GUHROOVY	
-	5	9	11	-	5	9	12	-	37-444	SHOOTING WALTZ	SABER WING	TAG	
-	3	"[CN]
9"	"[CN]
11"	-	"[CN]
6"	"[CN]
9"	"[CN]
11"	-	181	HAPPY HARDCORE	Sakura Reflection	Ryu☆	
-	5	"[CN]
8"	"[CN]
12"	-	6	"[CN]
10"	"[CN]
12"	-	184	HAPPY HARDCORE	sakura storm	Ryu☆	
-	5	10	12	-	5	10	12	-	182-189	ROCKIN' DRUM'N'BASS	Session 9 -Chronicles-	PRASTIK DANCEFLOOR	
-	4	8	10	-	4	8	11	-	143	ENERGETIC TRANCE	Space Time	NISH	
-	4	8	12	-	6	10	12	-	168	BUCHIAGE TRANCE	SPECIAL SUMMER CAMPAIGN!	Lucky Vacuum	
-	"[CN]
4"	"[CN]
6"	"[CN]
8"	-	"[CN]
4"	"[CN]
6"	"[CN]
7"	-	100	R&B	Stay my side	DJ Yoshitaka feat.RINA	
2	4	9	11	-	5	9	11	-	162	HARD DANCE	STELLAR WIND	L.E.D.	
-	"[CN]
5"	"[CN]
10"	"[CN]
11"	-	"[CN]
6"	"[CN]
10"	"[CN]
12"	-	154	GOA TRANCE	THE BLACK KNIGHT	L.E.D.	
-	"[CN]
[BSS]
4"	"[CN]
[BSS]
8"	"[CN]
[BSS]
10"	-	"[CN]
[BSS]
4"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	155	TRANCE	THE DOOR INTO RAINBOW	L.E.D.	
-	5	8	11	-	5	9	11	-	167	GOTH NU-STYLE GABBA	THE FALLEN	L.E.D.-G	
-	8	10	11	-	6	9	11	-	182	VACATION DANCE	Tropical April	Risk Junk	
-	"[CN]
5"	"[CN]
7"	10	-	"[CN]
5"	"[CN]
8"	10	-	152	PSYCHE FUSION	Vermillion	Mystic Moon	
-	6	9	12	-	6	9	11	-	148	TECH-BREAKBEATS	Watch Out Pt.2	DJ Mass MAD Izm* VS.DJ Yoshitaka	
2	3	7	9	11	3	6	9	11	127	RESORT HOUSE	WISE UP!	木之下慶行 feat.星野奏子	
-	3	8	10	-	7	9	11	-	173	CANDY RAVE	Wuv U	kors k	
-	5	8	10	11	5	8	10	11	160	DANCE POP	XANADU OF TWO	T.Kakuta With Starving Trancer + 森永真由美	
2	4	9	11	-	6	10	12	-	90-180	IDM	ZETA～素数の世界と超越者～	Zektbach	
-	3	5	7	"[CN]
10"	3	5	7	"[CN]
10"	100	WORLD/POPS	おおきなこえで	猫叉Master feat.Sana	
"[CN]
3"	"[CN]
5"	"[CN]
7"	"[CN]
9"	-	"[CN]
5"	"[CN]
7"	"[CN]
10"	-	186	NATSU MATSURI	かげぬい ～ Ver.BENIBOTAN ～	CULTVOICE by S.S.D.PRODUCTS	
-	4	9	12	-	5	10	12	-	150	撫子メタル	黒髪乱れし修羅となりて	村正クオリア	
3	7	10	12	-	6	10	12	-	153	BROKEN SAMBA BREAK	灼熱Beach Side Bunny	DJ Mass MAD Izm*	
-	6	9	11	-	6	10	12	-	155	ELECLORE	旅人リラン	XOGO BRYKK	
-	2	8	10	-	5	8	10	-	171	HAPPY HARDCORE	中華急行	Ryu☆	
-	5	9	11	-	5	9	11	-	174	AURAL ADRENALINE	夕焼け ～Fading Day～	JAKAZiD	
beatmania IIDX 19 Lincle ▲ ▼ △													
-	"[CN]
3"	"[CN]
6"	"[CN]
9"	"[CN]
12"	"[CN]
3"	"[CN]
8"	"[CN]
9"	"[CN]
12"	114	LA FABELO	A MINSTREL ～ ver. short-scape ～	KANTASIA by S.S.D. PRODUCTS	
-	"[BSS]
4"	"[CN]
[BSS]
8"	"[CN]
[BSS]
10"	-	4	"[CN]
[BSS]
8"	"[CN]
[BSS]
11"	-	172	TECHNO	Almace	Qrispy Joybox	
-	4	7	9	-	4	8	9	-	165	DANCE POP	ANAGRAMS I to Y	Mayumi Morinaga	
-	6	10	12	-	6	10	12	-	163	TECH-BREAKBEATS	BLACK.by X-Cross Fade	DJ Mass MAD Izm*	
-	2	5	8	"[CN]
11"	2	8	8	"[CN]
11"	158	WORLD/ELECTRONICA	CALL	猫叉Master	
1	4	9	11	-	4	9	11	-	191	DANCE SPEED	Castle on the Moon	青龍	
-	5	7	9	-	6	9	11	-	286	SPEED POP	Change the World	Tatsh feat.小田ユウ	
-	6	9	12	-	7	10	12	-	160	TRANSCENDENTAL ETUDES	DIAVOLO	度胸兄弟	
-	4	7	10	-	4	7	10	-	180	AKIBA RAVE	Drive Me Crazy	kors k feat.古川未鈴	
-	4	6	10	-	4	6	9	-	182	J-CORE	Express Emotion	REDALiCE feat. Shihori	
-	5	10	12	-	5	"[CN]
10"	12	-	154	RENAISSANCE	F	D.J.Amuro	
2	3	7	9	-	4	8	10	-	180	DRUM'N'BASS	Far east nightbird	猫叉Master	
-	4	10	12	-	5	10	12	-	138	HARD Pf	ƒƒƒƒƒ	Five Hammer	
1	3	7	10	-	"[BSS]
3"	"[BSS]
7"	"[BSS]
10"	-	175	CANDY HANDZ UP	Flip Flap	kors k	
-	4	8	10	-	4	8	10	-	140	J-DANCE POP	Follow Tomorrow	HHH×MM×ST	
-	"[CN]
3"	"[CN]
6"	"[CN]
9"	"[CN]
11"	"[CN]
3"	"[CN]
7"	"[CN]
10"	"[CN]
12"	140	MARCHING ROCK	GIGANT	seiya-murai	
-	5	10	12	-	5	10	12	-	208	ECCENTRIC	HAERETICUS	D.J.Amuro Vs MAX MAXIMIZER	
2	3	8	11	-	5	9	11	-	181	HAPPY HARDCORE	I'm so Happy	Ryu☆	
-	5	8	11	-	5	8	11	-	177	PROGRESSIVE ROCK	In the Blackest Den	Bulluvegola	
-	6	9	10	-	8	10	12	-	190	DRUM'N'BASS	Infinite cave	猫叉Master+	
-	3	6	9	"[CN]
11"	4	6	9	"[BSS]
12"	140	トレンディーポップス	KYAMISAMA ONEGAI!	Dr.Honda feat. Moe	
-	6	9	10	-	6	9	10	-	190	LOUD TECH	LAX5 feat.Ryota Yoshinari	Katana Sounds	
-	5	8	10	-	5	8	10	-	165	PLATINUM J-POP ONE	LETHEBOLG ～双神威に斬り咲けり～	TЁЯRA	
-	2	6	9	-	2	6	9	-	134	ELECTRO	Liquid Crystal Girl feat. echo	kmp	
-	4	8	10	-	4	8	10	-	173	DRUM'N'BASS	LOVE B.B.B	SWAN K feat. Asuka M	
-	4	8	10	-	4	8	10	-	160	DREAM TRANCE	Lucky Days	Sota Fujimori feat. Kanako Hoshino	
-	4	6	9	-	4	7	9	-	150	EUROBEAT	Mermaid girl-秋葉工房 MIX-	Remixed by DJ Command	
-	"[CN]
4"	"[CN]
6"	"[CN]
9"	-	"[CN]
4"	"[CN]
7"	"[CN]
10"	-	131	80's ELECTRO HOUSE	Miami Sunset Drive	Dirty Androids	
-	6	10	12	-	6	10	12	-	101-202	ELECTRO GOTHIC	NNRT	Levaslater	
-	5	7	10	"[BSS]
12"	5	8	11	"[BSS]
12"	176	HARD NRG	Phoenix	Hommarju	
-	5	8	11	-	5	8	11	-	198	NU PROGRESSIVE	prompt	wｘs ft.*spiLa*	
-	7	10	11	12	7	10	12	12	152	TECHNO	QUANTUM TELEPORTATION	L.E.D.	
1	4	9	12	-	4	9	12	-	182-186	HAPPY	quaver♪	Risk Junk	
-	"[CN]
[BSS]
5"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	"[CN]
[BSS]
5"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	172	RAVE FUSION	Quick Silver	Mystic Moon	
-	4	7	10	-	4	7	10	-	146	TECH DANCE	Release The Music	kors k	
-	3	7	10	-	3	7	10	-	184	MYSTERIOUS ROCK	RESISTANCE	セリカ	
-	4	6	9	-	3	6	10	-	145	HYPER ELECTRO	Round and Round	Masayoshi Minoshima feat. 綾倉盟	
-	"[BSS]
4"	"[BSS]
8"	"[BSS]
10"	-	"[BSS]
5"	"[BSS]
9"	"[BSS]
11"	-	85-170	ONLY ONE FINALE	SA.YO.NA.RA. SUPER STAR	SUPER STAR 満-MITSURU-	
-	"[CN]
[BSS]
5"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	"[CN]
[BSS]
6"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	217	HARD ROCK	Scharfrichter	Ashemu	
-	"[CN]
4"	"[CN]
8"	"[CN]
10"	-	"[CN]
4"	"[CN]
8"	"[CN]
10"	-	180	VALIANT BEAT	Several Words	CAPACITY GATE	
-	5	9	11	-	5	10	11	-	151	TECHNO	SHADE	DJ MURASAME vs dj Killer	
-	6	10	12	-	6	10	12	-	145	TECH-BREAKBEATS	Snake Stick	DJ Yoshitaka VS. DJ Mass MAD Izm*	
2	3	8	11	-	4	9	11	-	200	ELECTRIC POMP	Snow Goose	Mutsuhiko Izumi	
-	4	7	10	"[CN]
[BSS]
11"	4	7	10	"[CN]
11"	148	TRANCE	Star Trail	Nhato	
-	6	10	12	12	6	10	12	12	200	CYBER PUNK	The Limbo	STN	
-	"[BSS]
5"	"[CN]
[BSS]
9"	"[CN]
[BSS]
12"	-	"[BSS]
5"	"[CN]
[BSS]
10"	"[CN]
[BSS]
12"	-	150	HARD TRANCE	The Sampling Paradise	Mamonis	
-	5	9	12	-	5	9	11	-	188	RAVERS DANCE SPEED	Thunderbolt	雷龍	
2	4	8	11	"[HCN]
[HBSS]
12"	4	8	11	"[HCN]
[HBSS]
12"	※	DRUMSTEP	TITANS RETURN	L.E.D.	
-	"[CN]
5"	"[CN]
9"	"[CN]
12"	-	"[CN]
5"	"[CN]
9"	"[CN]
12"	-	185	SACRED TRANCE	Todestrieb	Rche	
-	3	7	9	-	3	7	9	-	140	TECH DANCE	Voxane	Remo-con	
-	5	9	12	-	5	9	12	-	165	HARD TRANCE	WONDER WALKER	L.E.D.	
-	6	10	12	-	6	11	12	-	190	TERROR CORE	YAKSHA	Neulakyussra	
-	4	8	10	"[CN]
12"	4	9	12	-	187	TEK-TRANCE	yellow head joe	S-C-U	
-	4	7	10	-	4	8	11	-	174	DRUM'N'BASS	Yellow Sunrise	xac	
-	5	9	11	-	5	9	11	-	168	EURO RAVE	24th Century BOY	Tatsh	
-	3	7	11	-	4	7	11	-	177	HARDCORE	532nm	Ryu☆	
2	"[CN]
4"	"[CN]
8"	"[CN]
11"	"[HCN]
12"	"[CN]
4"	"[CN]
8"	"[CN]
11"	"[HCN]
12"	170	ORIENTAL MYTHOLOGY	蛇神	Zektbach	
-	3	6	9	-	3	6	10	-	140	POP	陽炎	星野奏子	
-	4	9	11	12	4	8	12	-	260	トレンディーフュージョン	君のハートにロックオン	Dr.Honda	
2	5	8	12	"[CN]
12"	4	8	12	"[CN]
12"	200	Hi-BLEEP	恋する☆宇宙戦争っ！！	Prim	
-	6	10	12	-	7	10	12	-	280	PROGRESSIVE	子供の落書き帳	佐々木博史	
-	4	7	10	-	4	7	10	-	139	NEO CLASSICAL DANCE	衰色小町メランコリア	iNO	
-	6	10	12	"[CN]
12"	6	10	12	"[CN]
12"	97-194	BATTLE TRACK	聖人の塔	Beridzebeth	
-	7	10	12	-	7	11	12	-	150	ANTHEM	天空の夜明け	Cuvelia	
-	4	7	"[CN]
[BSS]
10"	-	4	8	"[CN]
[BSS]
10"	-	185	電波	突撃!ガラスのニーソ姫!	山本椛 (monotone)	
1	3	8	10	-	4	9	11	-	196	HAPPY HARDCORE	ビューティフルレシート	Lucky Vacuum	
-	3	7	11	-	5	8	11	-	164	SYMPHONIC-TEK	ユミル	MYTHOLOGIA by MLREC.	
beatmania IIDX 20 tricoro ▲ ▼ △													
-	5	8	10	-	6	9	11	-	185	ELECTRO POP	Ascalon	Qrispy Joybox	
-	3	7	11	-	3	7	11	-	190	SPEEDCORE	Beastie Starter	GUHROOVY	
-	4	7	10	-	4	8	10	-	160	HARD DANCE	BLUE STRAGGLER	L.E.D.	
-	4	8	10	-	4	8	10	-	160	SPACY TRANCE	BRAVE GLOW	SOUND HOLIC feat. Nana Takahashi	
-	5	7	11	-	5	8	11	-	198	HARD REVOLUTION	CONCEPTUAL	Sota Fujimori 2nd Season	
-	5	10	12	-	5	10	12	-	185	HARD ELECTRIC POP	Confiserie	L.E.D. vs S-C-U	
-	2	6	8	-	2	6	8	-	128	LOUNGE POP	connective	猫叉Master feat.*spiLa*	
-	5	9	11	-	7	10	11	-	205	BREAK CORE	Cookie Bouquets	L.E.D. vs TOMOSUKE fw.crimm	
-	5	10	12	-	6	10	12	-	80-300	DARK PROGRESSIVE	DAY DREAM	Mutsuhiko Izumi	
-	3	"[CN]
10"	"[CN]
12"	-	4	"[CN]
10"	"[CN]
12"	-	185	SYMPHONIC BREAK BEATS	Devilz Staircase	OSTER project	
1	7	10	12	-	8	10	"[CN]
12"	-	212	HARD RENAISSANCE	Elemental Creation	dj TAKA meets DJ YOSHITAKA	
-	6	9	11	-	6	10	11	-	180	VACATION DANCE	examination leave	dj razzle dazzle	
"[CN]
2"	"[CN]
6"	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	"[CN]
6"	"[CN]
[BSS]
9"	"[CN]
[BSS]
12"	-	173	TRANCE CORE	FLOWER	DJ YOSHITAKA	
-	4	8	10	-	4	8	11	-	141	HANDZ UP	Fly you to the star	Another Infinity feat. Mayumi Morinaga	
-	5	10	12	-	5	10	12	-	180	SPEED DANCE	GAIA	猫叉L.E.D.Master+	
-	"[CN]
5"	"[CN]
8"	"[CN]
10"	-	"[CN]
5"	"[CN]
8"	"[CN]
11"	-	180	KONAMI REMIX	GRADIUS 2012	Sota Fujimori	
-	5	"[CN]
10"	"[CN]
12"	-	6	"[CN]
9"	"[CN]
12"	-	186	DRUM'N'BASS	Hollywood Galaxy	dj TAKA	
-	4	7	9	10	4	7	10	11	155	NU RAVE	Howling	PON	
-	3	6	9	-	3	6	9	-	136	NEW 80's	I know You know	Suke+Suke feat.Ribbon	
-	4	7	10	-	4	8	10	-	142	HYPER ELECTRO	ILIAS	Masayoshi Minoshima feat. 坂上なち	
-	5	9	11	12	5	10	11	12	260	ORBITALIC CORE	Illegal Function Call	U1-ASAMi	
-	4	7	9	-	5	7	9	-	149	HEAVENLY TRANCE	In Heaven	Sota Fujimori	
1	"[BSS]
6"	"[BSS]
10"	12	-	"[BSS]
6"	"[BSS]
10"	12	-	90-300	HARD RENAISSANCE	JOMANDA	DJ YOSHITAKA	
-	6	9	12	-	6	10	12	-	150	TRANCE	Liberation	dj TAKA	
-	5	9	11	-	5	9	11	-	181	HAPPY HARDCORE	Light and Cyber･･･	Tatsh	
-	5	8	12	-	5	8	12	-	183	J-CORE	Little Star	REDALiCE feat. Ayumi Nomiya	
-	3	7	9	"[CN]
10"	3	6	10	11	140	NEO 80's EURO ELECTRO	LUV CAN SAVE U	HIDEKI NAGANUMA	
-	4	5	8	-	5	8	9	-	111	JAZZ HOUSE	mnemoniq	youhei shimizu	
-	4	8	10	-	4	10	11	-	145	TECH DANCE	Neonlights	DJ Noriken	
1	6	10	12	-	6	10	12	-	※	NIENTE	neu	少年ラジオ	
1	5	9	11	-	5	9	11	-	200	SPEED DANCE CORE	New Decade IIDX Edition	Sota F.	
-	6	9	10	-	6	9	10	-	175	HARDCORE	New Lights	kors k	
-	6	10	12	-	6	10	12	-	212	HAPPY GABBA	Plan 8	Ryu☆	
-	4	8	10	-	4	8	11	-	164	ELECTRIC POP	planarian	S-C-U	
-	4	7	10	-	4	7	10	-	188	DRUM'N'BASS	POINT ZERO	猫叉Master+	
-	4	8	10	-	4	8	11	-	152	CLASSICAL PIANO	Präludium	Yuko Takahashi	
-	6	10	12	-	6	10	12	-	170	HARD ELECTRONICA	Proof of the existence	猫叉Master+	
-	4	7	10	-	5	8	10	-	179	DRUM'N'BASS	Rainbow after snow	猫叉Master feat.林ももこ	
-	4	7	10	-	5	7	10	-	110	BOSSA ELECTRONICA	Reflection Into the EDEN	猫叉Master	
1	5	8	10	-	5	8	11	-	176	EMOTIONAL SENTENCE	Re:GENERATION	TAG feat. ERi	
-	5	10	11	-	5	10	12	-	192	LOUNGECORE	rumrum triplets	yu_tokiwa.djw	
-	5	"[CN]
[BSS]
8"	"[CN]
[BSS]
11"	-	5	"[CN]
[BSS]
9"	"[CN]
[BSS]
11"	-	177	DRUMSTEP	S!ck	Eagle	
-	7	10	11	12	6	10	11	12	155	PROGRESSIVE TRIBAL	Saturn	Mr.Saturn	
-	6	8	9	-	4	7	9	-	150	ELECTRO POP	Shining World	DJ Genki feat. Yukacco	
-	4	7	10	-	4	7	11	-	179	HI-SPEED FANTASY TUNE	SHION	DJ YOSHITAKA	
-	"[BSS]
6"	"[BSS]
9"	"[BSS]
12"	-	"[BSS]
6"	"[BSS]
11"	"[BSS]
12"	-	190-200	FREEFORM HARDCORE	Sol Cosine Job 2	DJ TECHNORCH	
-	5	10	12	-	5	10	12	-	90-182	GRAVIOL	STULTI	MAX MAXIMIZER VS DJ TOTTO	
-	5	10	12	-	6	10	12	-	160-166	LATIN EURO	SYNC-ANTHEM	Tatsh feat. 星野奏子	
-	"[CN]
4"	8	11	-	"[CN]
4"	"[CN]
8"	11	-	160	ORBITALIC REVOLUTION	Synergy For Angels	TAG×U1-ASAMi	
-	5	8	11	-	5	9	11	-	175	EUROBEAT	Take My Life	Y&Co.	
-	5	10	12	-	5	10	12	-	150	TRANSCENDENTAL ETUDES	Thor's Hammer	ユニバーサル度胸兄弟	
-	4	9	10	"[CN]
11"	7	9	11	"[CN]
12"	148	TRANCE	Time to Empress	dj TAKA feat.wac & secret K	
-	5	10	12	-	6	11	12	-	287	PROGRESSIVE ROCK	Timepiece phase II	佐々木博史	
-	"[CN]
6"	"[CN]
10"	"[CN]
12"	-	"[CN]
[BSS]
6"	"[CN]
[BSS]
11"	"[CN]
[BSS]
12"	-	287	PROGRESSIVE ROCK	Timepiece phase II (CN Ver.)	佐々木博史	
-	5	10	12	-	5	10	12	-	164	ESSENTIALLY	True Blue	dj TAKA feat.AiMEE	
-	"[CN]
7"	"[CN]
[BSS]
10"	"[CN]
[BSS]
12"	-	"[CN]
6"	"[CN]
[BSS]
10"	"[CN]
[BSS]
12"	-	186	ART CORE	Valanga	DJ TOTTO	
1	"[CN]
6"	"[CN]
[BSS]
10"	"[CN]
[BSS]
11"	-	"[CN]
7"	"[CN]
[BSS]
10"	"[CN]
[BSS]
11"	-	185	TRANCE CORE	VALLIS-NERIA	DJ YOSHITAKA	
-	5	"[BSS]
9"	"[BSS]
11"	-	5	"[BSS]
9"	"[BSS]
11"	-	191	UNIVERSAL J-CORE	VEGA	REDALiCE	
-	5	8	11	-	5	8	11	-	190	DUB STEP	ZED	USAO	
-	5	10	12	-	5	10	12	-	210	SPACE REQUIEM	Zirkfied	iconoclasm	
-	5	9	11	-	5	9	11	-	177	HARDCORE	405nm (Ryu☆mix)	Another Infinity	
-	3	6	10	-	3	6	10	-	150	CHIPTUNE	8bit Princess	seiya-murai feat. ALT	
-	"[CN]
4"	"[CN]
9"	"[CN]
12"	-	"[CN]
5"	"[CN]
9"	"[CN]
12"	-	173	ZODIAC ORACLE 7	アストライアの双皿	ZODIACSYNDICATE	
-	5	7	10	-	5	8	10	-	167	想歌 梅	梅雪夜	Qrispy Joybox feat.mao	
-	6	10	12	"[CN]
12"	6	10	12	"[CN]
12"	175	ROMANTIC SCHOOL VARIATIONS	ΕΛΠΙΣ	dj TAKA	
-	5	8	10	12	5	9	10	12	190	お米タル	お米の美味しい炊き方、そしてお米を食べることによるその効果。	大日本鉄倶楽部【あさき＆96】	
1	4	7	10	11	4	7	10	11	149	FASCINATION	朧	HHH×MM×ST	
-	5	10	12	-	5	10	12	-	210-360	SILENT	音楽	弁士カンタビレオ	
-	5	7	9	-	5	7	9	-	166	NEO CLASSICAL DANCE	下弦の月	iNO	
-	4	8	"[CN]
[BSS]
11"	"[CN]
[BSS]
12"	4	8	"[CN]
[BSS]
12"	-	230	電波	カジノファイヤーことみちゃん	ARM feat. 山本椛 + Brasscapsule	
-	5	9	11	12	5	8	11	12	151	TECHNO	仮想空間の旅人たち	DJ MURASAME	
-	6	10	12	-	6	10	12	-	196	Hi-ν BLEEP	キャトられ♥恋はモ～モク	ギュ～っとしたい♥Prim	
-	6	10	12	-	6	10	12	-	206	Hi-GOTH	狂イ咲ケ焔ノ華	覚醒ノPrim	
-	6	10	12	-	7	10	12	-	187	TOY CONTEMPORARY	シュレーディンガーの猫	Cait Sith	
-	4	9	11	-	4	9	11	-	200	CREATOR	創世ノート	PON+wac	
-	6	10	12	-	6	9	12	-	197	AKIBA-POP	即席！脳直★ミュージックシステム	MOSAIC.WAV	
-	7	10	12	-	6	10	12	-	180	PROGRESSIVE	たまゆら	佐々木博史	
-	"[CN]
6"	"[CN]
9"	"[CN]
12"	-	"[CN]
6"	"[CN]
9"	12	-	185	歌謡 DRUM & BASS	トリカゴノ鳳凰	L.E.D. Vs. 幽閉サテライト	
1	3	9	12	-	3	9	12	-	190	Hi-CORE	†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT)	夏色ビキニのPrim	
-	4	8	10	-	4	7	11	-	157	CYBER SYMPHONIC POP	メイメツ、フラグメンツ	中山真斗(Elements Garden)feat.桜川めぐ	
-	4	8	10	-	4	8	10	-	165	LUCKY TECHNO	ラキラキ	Mutsuhiko Izumi & S-C-U	
-	5	8	11	"[CN]
12"	5	9	11	"[CN]
12"	165	EPIC TECHNO	龍と少女とデコヒーレンス	黒猫ダンジョン	
beatmania IIDX 21 SPADA ▲ ▼ △													
1	"[CN]
[BSS]
6"	"[CN]
[BSS]
10"	"[CN]
[BSS]
12"	-	"[CN]
[BSS]
6"	"[CN]
[BSS]
10"	"[CN]
[BSS]
12"	-	180	ARTCORE	Adularia	DJ TOTTO	
-	"[CN]
5"	"[CN]
[BSS]
8"	"[CN]
[BSS]
11"	"[CN]
[BSS]
12"	"[CN]
4"	"[CN]
[BSS]
8"	"[CN]
11"	"[CN]
12"	165	HYPER GOTHIC BEAT	ALBA -黎明-	SOUND HOLIC feat. Nana Takahashi	
-	6	10	12	12	6	10	12	12	178	DYNASTIC FREEFORM	Ancient Scapes	Durandal	
-	"[CN]
7"	"[CN]
10"	"[CN]
12"	-	"[CN]
7"	"[CN]
10"	"[CN]
11"	"[CN]
12"	188	RAVERS DANCE SPEED	BLUE DRAGON(雷龍RemixIIDX)	青龍	
-	4	10	11	-	6	10	12	-	180	TRANCECORE MEETS GABBA	BRAINSTORM	Hardcore United Tokyo(teranoid & DJ TECHNORCH)	
-	5	8	10	11	5	9	11	12	150	ELECTRANCE	BRAVE OUT	nomico / DOWNFORCE	
-	2	6	9	-	2	8	10	-	165	ILUZIO	Claiomh Solais	DJ Yoshitaka VS S.S.D.	
-	4	8	11	-	4	9	11	-	190	PHARAO BEAM STEP	Cleopatrysm	ピラミッ℃	
-	5	10	12	12	"[CN]
5"	"[CN]
9"	"[CN]
12"	"[CN]
12"	188	J-CORE	Close the World feat.a☆ru	天叢雲剣	
1	"[CN]
6"	"[CN]
8"	"[CN]
11"	-	"[CN]
6"	"[CN]
9"	"[CN]
11"	-	191	DANCE SPEED	Critical Crystal	青龍	
-	6	9	12	-	7	9	12	-	196	DARK ELEMENT	DARK LEGACY	BaSTeT	
-	"[CN]
5"	"[CN]
9"	"[CN]
11"	-	"[CN]
6"	"[CN]
9"	"[CN]
11"	-	175	SYMPHONIC BREAK BEATS	Devilz Sacrifice -贖罪の羊-	OSTER project	
-	3	7	11	-	4	7	11	-	112	GLITCH HOP	diagram	Expander	
-	6	9	11	"[HCN]
12"	5	8	12	"[HCN]
12"	180	UK HARDCORE	Elektrick U-Phoria	DJ Noriken	
-	3	7	9	"[CN]
11"	3	6	9	11	170	HEALING POP	Element of SPADA	猫叉Master feat.霜月はるか	
-	4	8	11	-	4	8	11	-	188	HAPPY SAD CORE	Engraved Mark	Ryu☆ ∞ Des-ROW	
-	"[BSS]
5"	"[BSS]
8"	"[BSS]
11"	-	"[BSS]
5"	"[BSS]
9"	"[BSS]
10"	-	148	TECHNO	EXTREME MACH COLLIDER	L.E.D.	
-	7	10	12	12	6	9	11	12	175	HARDCORE RAVE	Feel The Beat	Falsion	
-	3	6	11	-	4	7	11	-	115	JAG GLITCH	Funny shuffle	猫叉Master+	
-	6	9	11	"[CN]
[MSS]
12"	5	8	11	"[CN]
[MSS]
12"	178	BIG BEAT	HYENA	Hommarju	
-	5	8	10	-	5	8	11	-	175	DRUM&BASS	Hypersonik	Eagle	
-	"[BSS]
6"	"[BSS]
9"	"[BSS]
11"	-	"[BSS]
6"	"[BSS]
10"	"[CN]
[BSS]
12"	-	172	ONLY ONE MOMENT	I will be back -オレは帰ってきた-	SUPER STAR 満-MITSURU-	
-	6	10	12	-	6	10	12	-	201	REPLICANT CORE	Idola	iconoclasm feat.GUMI	
