title,artist,genre,bpm,sp_b_level,sp_n_level,sp_h_level,sp_a_level,sp_l_level,dp_n_level,dp_h_level,dp_a_level,dp_l_level,sp_b_notes,sp_n_notes,sp_h_notes,sp_a_notes,sp_l_notes,dp_n_notes,dp_h_notes,dp_a_notes,dp_l_notes
Souhait bleu,しーけー,ALCHEMY POP,225,-,5,9,11,-,5,9,11,-,-,457,977,1407,-,467,1007,1457,-
SPARK IN THE NIGHT,"BEMANI Sound Team ""L.E.D.-G""",EUPHORIC HARDSTYLE,160,-,4,8,10,-,4,8,10,-,-,440,734,1149,-,437,705,1118,-
Stepper,PSYQUI,DANCE MUSIC,128,-,4,8,10,-,4,8,10,-,-,356,780,1105,-,364,783,1112,-
Tail Lights,"BEMANI Sound Team ""dj TAKA"" feat.nana hatori",TRANCE,156,-,5,9,11,-,5,9,11,-,-,556,990,1589,-,594,977,1613,-
TOMAHAWK,かめりあ,SUPER HARDCORE NOVA,215,-,6,10,12,-,7,10,12,-,-,697,1215,1830,-,713,1318,1841,-
Triple Cross,"BEMANI Sound Team ""dj TAKA & DJ YOSHITAKA & SYUNN""",MUSIC GAME TRADITIONAL,196,3,6,10,12,-,6,10,12,-,297,568,1172,1667,-,598,1184,1693,-
Ventriloquist,Avans,JAZZY STEP,170,-,4,8,11,-,4,8,11,-,-,396,774,1232,-,399,764,1173,-
Victory Of Ravers,DJ Shimamura,HARDCORE RAVE,178,-,6,9,11,-,6,9,10,-,-,517,894,1301,-,535,864,1168,-
WHA,かめりあ involving ななひら,CROSSO-WHA-R,108,-,7,10,12,-,7,10,12,-,-,627,1206,1946,-,687,1127,1928,-
Wonderful Escape,DÉ DÉ MOUSE,NU DRUM & BASS,165,-,5,7,10,-,5,8,10,-,-,488,744,1052,-,494,726,1035,-
Xyndrome,nora2r,FRENCHCORE,195,-,6,9,11,-,6,9,11,-,-,488,840,1495,-,529,901,1480,-
10000 MILES AWAY,AJURIKA,DRUMSTEP,178,-,5,9,11,-,5,9,11,-,-,525,842,1494,-,535,874,1504,-
2 Beasts Unchained,kors k vs Yooh,HARDCORE,175,-,7,10,12,-,7,10,12,-,-,759,1145,1780,-,766,1170,1736,-
808monkey,AJURIKA,JUNGLE TERROR,168,-,4,7,9,-,4,7,9,-,-,385,606,914,-,393,655,969,-
青の洞窟,Ujico*,AQUARIUM QUARTERSTEP,175,-,4,9,11,-,4,9,11,-,-,455,1033,1600,-,472,1027,1560,-
アクマフカ,Pizuya's Cell,ROCK,135,-,5,8,10,-,5,8,10,-,-,382,780,1168,-,382,774,1229,-
天邪鬼,Qlarabelle,HARD DANCE,155,2,5,9,12,-,5,9,12,-,209,500,870,1693,-,514,906,1758,-
愛しくてラヴィンユー ft. マナ,Xceon,EURO BEAT,152,-,4,7,10,-,4,7,10,-,-,407,757,1209,-,395,749,1287,-
ウツシミウツシ,"BEMANI Sound Team ""PHQUASE"" feat.ぁゅ",ALTERNATIVE DANCE CORE,154,-,6,9,11,-,6,9,11,-,-,640,1049,1595,-,634,1129,1590,-
オールトの雲,OSTER Project,GALAXY QUEST,215,-,6,9,11,-,6,9,11,-,-,617,1015,1335,-,612,973,1313,-
オドループ,フレデリック,J-POP,172,3,5,7,10,11,5,7,10,11,258,558,792,1175,1500,531,783,1277,1537
怪物,Remixed by Nhato feat. ricono,IIDX EDITION,170,1,4,6,10,11,4,6,10,11,174,376,602,1205,1648,383,610,1241,1584
口カラ凸ゲキ,SARUKANI × Blacklolita,HUMAN BEATBOX ELECTRO,150,-,5,8,10,-,5,8,10,-,-,469,779,1217,-,478,792,1262,-
黒紅掬い,猫叉Master feat.霜月はるか,SHOWA RETRO,104,-,4,7,9,-,4,7,9,-,-,336,613,916,-,334,617,1046,-
グッバイ宣言,Remixed by uno(IOSYS) & Liqo feat. Chiyoko,IIDX EDITION,170,3,5,8,11,12,5,8,11,12,293,554,905,1557,1849,558,931,1571,1829
《GRANDMASTER》,Blacklolita,TRIUMPH,160,-,5,9,11,-,5,9,11,-,-,499,939,1504,-,496,934,1508,-
逆月,"BEMANI Sound Team ""HuΣeR"" feat.Fernweh",JAPANESQUE,280,-,7,10,12,-,7,10,12,-,-,760,1194,1920,-,768,1177,1848,-
シル・ヴ・プレジデント,P丸様。,J-POP,176,2,4,7,10,11,4,7,10,11,152,328,611,901,1299,331,613,928,1255
雪上断火,Des-ROW・組,HIP ROCK3,105-180,-,6,10,12,-,6,10,12,-,-,511,940,1544,-,530,956,1439,-
月とミルク,TORIENA,CHIPBREAK POP,190,-,5,8,11,-,5,8,11,-,-,500,800,1400,-,519,772,1351,-
ナイトフィクション,中山真斗 feat. CHAN,ALTERNATIVE,163,-,4,8,10,-,4,8,10,-,-,367,790,1087,-,380,767,1094,-
ハイテックトキオ,"lapix ∞ BEMANI Sound Team ""Sota Fujimori""",ハイテックトキオ,165,-,6,9,11,12,6,9,11,12,-,560,980,1367,1657,536,969,1385,1670
"ピアノ独奏無言歌 ""灰燼""","BEMANI Sound Team ""Virkato Wakhmaninov""",THRENODY,※,-,6,10,12,-,6,10,12,-,-,608,1256,1977,-,618,1300,2174,-
烽火連天の刃,OSTER project,CYBER TAIGA,190,-,6,10,12,12,6,10,12,-,-,576,1195,1771,2279,572,1216,1778,-
禊,Nhato,HARD PSY TRANCE,160,-,6,10,12,-,6,10,12,-,-,545,1169,1631,-,560,1153,1587,-
ミュージック・アワー,"Remixed by BEMANI Sound Team ""PON""",IIDX EDITION,165,3,6,9,11,12,6,9,11,12,275,610,1084,1516,2094,603,1066,1520,2065
めでてえ,TORIENA,ハッピースピードコア,240,-,5,8,10,-,5,8,10,-,-,562,875,1336,-,559,873,1303,-
Always We Trust In You,nora2r,EMOTIONAL HAPPY EUPHORIA,190,-,6,9,12,-,6,9,12,-,-,607,951,1625,-,630,925,1692,-
Ambush Ace,Xceon,ELECTRO FUSION,158,-,5,9,11,-,5,9,11,-,-,542,1075,1492,-,528,959,1477,-
AWA AWA,Snail's House,BOSSA NA NOKA,95-165,-,4,7,10,-,4,7,10,-,-,398,671,1169,-,405,705,1237,-
B.O.D.Y.,"BEMANI Sound Team ""L.E.D. Sota F.""& Starbitz",HARD BODY MUSIC,157,-,6,10,12,-,6,10,12,-,-,558,1103,1734,-,608,1067,1661,-
Bad Encryption,"BEMANI Sound Team ""ZAQUVA"" respect for teranoid",NEO INDUSTRIAL,200,-,7,10,12,-,7,10,12,-,-,678,1015,1633,-,692,998,1614,-
Beyond Evolution,Hekatoncheir,CULMINATION,185,-,7,11,12,-,7,11,12,-,-,753,1332,2216,-,777,1364,2137,-
BIGWAVERS,BlackY,EMOTIONAL HARDCORE SUMMERS,177,-,6,9,12,-,6,9,12,-,-,587,963,1796,-,599,1042,1777,-
C-C-C-N-N-N,RoughSkreamZ feat. Aikapin,ELECTRONICORE,162-180,-,5,9,11,-,5,9,11,-,-,504,898,1434,-,525,902,1490,-
Caldwell 99,BlackY,STARRY BASS HOUSE,142,-,6,9,11,12,6,9,11,12,-,530,975,1293,1743,541,961,1338,1766
Chaotoxin,Feryquitous,HELETIC BREAK D'n'B,180,-,5,9,12,-,5,9,12,-,-,599,888,1705,-,615,869,1746,-
CODE -CRiMSON-,Shiron,NRG SCHRANZ,167,-,6,9,11,-,6,9,11,-,-,668,971,1516,-,699,933,1563,-
CUE CUE RESCUE,TORIENA,EMERGENCY CORE,160,3,5,8,10,12,5,8,10,12,267,580,853,1278,1549,555,838,1244,1565
dica dica,REMO-CON,ACID RAVE,175,-,5,10,12,-,5,10,12,-,-,591,1233,1638,-,600,1230,1640,-
Dreaming Dream,MK feat. 紫咲ほたる,DANCE POP,140,-,4,7,10,-,4,7,10,-,-,423,719,1143,-,426,705,1118,-
Driver,Masayoshi Iimori,BIGROOM D&B,174,-,5,7,9,-,5,7,9,-,-,450,651,906,-,455,647,930,-
EXODUS SIGN,Blacklolita,TEAROUT BREAKS,150,-,6,9,11,-,6,9,11,-,-,626,921,1366,-,633,946,1275,-
Fading Stars,Nhato,TRANCE,148,-,5,8,10,-,5,8,10,-,-,553,831,1367,-,581,874,1292,-
FLARE -炎舞- ft.Nana Takahashi,"BEMANI Sound Team ""dj TAKA"" Vs SOUND HOLIC",BPL S3 THEME,140,-,5,8,10,-,5,8,10,-,-,573,961,1455,-,575,970,1337,-
Get On Your Feet,Nhato,HYBRID TRANCE,155,-,5,9,11,-,5,9,11,-,-,573,914,1384,-,587,944,1347,-
GET UP AGAIN,Zekk feat. くらべ,COMPETITIVE ROCKSTEP,180,-,6,8,10,-,6,8,10,-,-,564,856,1226,-,588,821,1227,-
glacia,DJ TOTTO,ARTCORE,186,-,6,10,12,-,6,10,12,-,-,606,1093,1492,-,608,1080,1497,-
Hat Surprise (Season 2),Hommarju,UK HARDCORE,180,-,5,9,12,-,5,9,12,-,-,514,928,1729,-,524,947,1703,-
I,黒魔,CHIP ELECTRO,225,-,6,10,12,-,6,10,12,-,-,632,1191,1901,-,617,1151,1890,-
kors k's How to make OTOGE CORE 「LONG」,kors k,CHANNEL K,190,-,6,10,12,-,6,10,12,-,-,607,1216,1863,-,610,1219,1859,-
KING,Remixed by SOUND HOLIC feat. はるの,IIDX EDITION,166,2,4,9,11,12,4,9,11,12,226,475,997,1553,1983,460,987,1581,2024
LADS,"BEMANI Sound Team ""PON""",HYBRID FOLK,152,-,5,7,10,-,5,7,10,-,-,474,834,1155,-,519,720,1349,-
Level 4,Yamato,DnB,180,-,6,10,12,-,6,10,12,-,-,619,1066,1883,-,600,1032,1883,-
LOUDER ROLLING THUNDER,"BEMANI Sound Team ""Dustup Vs. L.E.D.-G""",MASSIVE MIXTURE,180,-,6,10,12,-,6,10,12,-,-,555,1029,1767,-,635,1026,1650,-
MAX 360,"BEMANI Sound Team """"",HARDCORE TECHNO,15-360,-,6,10,12,-,6,10,12,-,-,616,1192,1610,-,615,1190,1610,-
Meissa,"BEMANI Sound Team ""Yvya""",PROGRESSIVE DRUM'N'BASS,124-174,-,5,9,12,-,5,9,12,-,-,465,826,1435,-,463,825,1415,-
Next Level,Maozon,DRUM & BASS,174,-,5,8,10,-,5,8,10,-,-,477,817,1100,-,473,816,1135,-
No Border,"BEMANI Sound Team ""dj TAKA"" feat.Sana",TRANCE,150,-,6,10,12,-,6,10,12,-,-,589,1013,1895,-,592,1075,1953,-
ONE AND ONLY,Yuta Imai,RAVE IN THE GAME,174,-,6,9,12,-,6,10,12,-,-,600,919,1639,-,620,1018,1646,-
OVER VOLTAGE,Yuta Imai,HARDSTYLE,160,-,6,9,11,-,6,9,11,-,-,560,935,1332,-,583,954,1371,-
Peaktime Booster,らっぷびと Prod. by RoughSketch & NUE,RAPCORE,180,-,7,10,12,-,6,10,12,-,-,588,959,1663,-,588,909,1572,-
Perfect Plan,Dirty Androids,CRIME JAZZ BROKEN BEATS,150,-,6,9,11,-,6,9,11,-,-,595,912,1328,-,597,913,1305,-
Programmed Genom,kors k,PSYCHEDELIC TRANCE,150,-,5,8,11,-,5,8,11,-,-,570,826,1214,-,559,829,1155,-
Red Soul,RoughSketch,HARDCORE,180,-,6,9,11,-,6,9,11,-,-,543,915,1494,-,532,931,1463,-
Rewind Time,Dazsta,GLITCH HOP,115,-,4,7,10,-,4,7,10,-,-,361,658,1107,-,360,655,1215,-
RINИE,GeMiNioИ,SYMPHONIC SAVIOR,198,-,5,10,12,-,5,10,12,-,-,604,1186,1788,-,604,1172,1767,-
Ruler or Loser,Maozon feat. Nadia,DRUM & BASS,174,-,5,8,11,-,5,8,11,-,-,494,845,1339,-,493,855,1351,-
Seraph,satella feat.棗いつき,UNSUNG SHADOWS,216,-,5,9,11,-,5,9,11,-,-,500,922,1227,-,503,859,1234,-
Shadow World,"BEMANI Sound Team ""HuΣeR × 猫叉Master"" feat.Emi Evans",STYLISH CONTEMPORARY,180,-,4,8,11,-,4,8,11,-,-,498,836,1369,-,510,885,1365,-
Shamshir,Blacklolita,G-HOUSE,135,-,5,8,10,-,5,8,10,-,-,557,751,1132,-,552,749,1129,-
Somnidiscotheque,夢路 歩,SUBCONSCIOUS FRAGMENT,115,-,6,11,12,-,6,10,12,-,-,680,1053,1776,-,682,1038,1788,-
STAR BEAT,MK,COLOUR BASS,158,-,4,8,10,-,4,8,10,-,-,427,880,1230,-,446,882,1271,-
STRAIGHT TO THE STARS,"BEMANI Sound Team ""Expander"" feat. Starbitz",COLOUR BASS BREAKS,158,-,5,8,11,-,5,8,11,-,-,530,879,1506,-,486,857,1456,-
Stylus,"BEMANI Sound Team ""HuΣeR""",STYLISH TECHNO,165,-,6,9,11,-,6,10,12,-,-,627,993,1440,-,648,1019,1741,-
Summerblue,Toby Fox & Camellia,GAME MUSIC,145,2,5,8,10,-,5,8,10,-,186,551,886,1232,-,552,885,1271,-
Sunny Day Vibes,Mameyudoufu,FUTURE CORE,185,-,5,8,10,-,6,9,11,-,-,482,829,1150,-,562,930,1211,-
Super Freak,Hommarju,HARDCORE,200,-,5,9,12,-,5,9,12,-,-,565,963,1754,-,606,974,1789,-
suspicions,"BEMANI Sound Team ""猫叉Master VS dj TAKA""",JAZZ CORE,153,-,6,10,12,-,6,10,12,-,-,609,1174,1908,-,666,1224,1914,-
Swing My Wonderland,lapix,ULTRA JAZZFUNKTION,170,-,5,9,11,-,5,9,11,-,-,662,1178,1570,-,662,1147,1500,-
TECHNOPHOBIA,"BEMANI Sound Team ""HuΣeR""",TECH/ELECTRO,152,-,5,8,12,-,5,8,12,-,-,404,852,1544,-,437,839,1538,-
The Clown of 24stairs,Yu_Asahina,DISSOCIATIVE IDENTITY DISORDER,204,-,6,10,12,-,6,10,12,-,-,579,1146,1788,-,572,1117,1786,-
THE TIME MACHINE,Yuta Imai,HARDWAVE/STYLE,155,-,6,9,11,-,6,9,11,-,-,552,900,1350,-,574,856,1328,-
VØID,"BEMANI Sound Team ""Darker Vs. JUSTICE""",EXTREME EXPERIMENTAL,80-170,-,7,10,12,-,7,10,12,-,-,684,1028,1712,-,685,991,1709,-
VOLAQUAS,"BEMANI Sound Team ""DJ TOTTO VS 兎々""",EMPYREAL HYDRO ARTCORE,212,-,7,10,12,-,7,10,12,-,-,670,1119,1982,-,667,1141,2003,-
VOLCANIC BIGBEAT,DJ Mass MAD Izm*,TECH-BIGBEAT,148,-,6,9,11,-,6,9,11,-,-,552,932,1444,-,568,922,1402,-
"wanna be a ""BAD GIRL"" feat. Nana Takahashi",Nhato,FUNK POP,142,-,3,6,9,-,3,6,9,-,-,401,665,1029,-,395,661,1002,-
With You,BANVOX,DANCE,150,-,4,8,11,-,4,8,11,-,-,420,801,1296,-,404,754,1234,-
Xerulean,"BEMANI Sound Team ""ZAQUVA""",HAPPY HARDCORE,182,-,7,10,12,-,7,10,12,-,-,690,1049,1802,-,709,1043,1804,-
ZEИITH,Ashrount vs polysha,ARCADE CORE,190,-,6,9,11,-,6,9,11,-,-,580,1020,1531,-,597,1008,1502,-
24h Endurance Race,"BEMANI Sound Team ""Risk Junk""",HARDCORE,184,-,5,10,12,-,6,10,12,-,-,504,1096,1743,-,634,1160,1915,-
3V0,BlackY,NEO DANCE SPEED,191,-,5,9,11,-,5,9,11,-,-,530,929,1530,-,530,930,1530,-
7 Colors,kors k feat.吉河順央,PRISM EURO,156,-,4,7,10,-,4,7,10,-,-,318,607,970,-,318,597,997,-
DENTITY,"BEMANI Sound Team ""HuΣeR""",FORTUNE OVERTURE,200,-,6,10,12,-,6,10,12,-,-,770,1004,1313,-,598,1021,1257,-
雨のちパノラマセカイ,"BEMANI Sound Team ""劇団レコード"" feat.NU-KO",SUNNY SKY,178,-,4,7,9,-,4,7,10,-,-,413,721,1112,-,491,798,1115,-
あるビー！ feat.ころねぽち,ヒゲドライバー,ピコピコ電波ソング,236,-,4,9,11,-,4,9,11,-,-,500,900,1457,-,502,885,1474,-
異心前進♪ぴょんぴょんぴょん,天土,EUROBEAT,170,-,5,8,10,-,5,8,10,-,-,560,847,1260,-,555,833,1269,-
栄冠のカンパネラ,OSTER project,TRIUMPHAL MARCH,185,-,7,10,12,-,7,10,12,-,-,687,1101,2000,-,700,1179,2000,-
《ORDERBREAKER》,Blacklolita,GODSPEED,166,-,6,9,11,-,6,9,11,-,-,511,815,1257,-,521,750,1298,-
Ōu Legends,かめりあ,TOHOKU NEURO DENSETSU,191,-,6,10,12,-,6,10,12,-,-,581,1068,1687,-,600,1063,1701,-
おとせサンダー,ぼっちぼろまる,J-ROCK,177,1,4,7,10,-,4,7,10,-,107,334,602,1088,-,350,608,1158,-
神っぽいな,Remixed by uno(IOSYS) & NUE feat. Chiyoko,IIDX EDITION,142,2,4,8,10,12,5,8,10,12,186,392,734,1078,1574,411,740,1079,1550
神のシナリオ,AJURIKA,MELODIC DUBSTEP,140,-,6,9,12,-,6,9,12,-,-,593,882,1652,-,589,904,1630,-
#CMFLG,Qlarabelle,HARD TRIBAL,155,-,6,10,12,-,6,10,12,-,-,601,1186,1748,-,625,1152,1562,-
きゅんです。,Pizuya's Cell,ROCK,162,-,4,7,10,-,4,7,10,-,-,367,724,1177,-,384,718,1202,-
響花水月,xi feat. Risa Yuzuki,HEROIC DRUM & BASS,180,-,6,9,11,-,6,9,11,-,-,608,974,1487,-,586,1039,1545,-
昏き甲鉄のヴェルガ,arcane feat.rionos,FANTASIA,174,-,4,7,10,-,4,7,10,-,-,458,813,1177,-,431,766,1229,-
■□模様,"BEMANI Sound Team ""PHQUASE"" feat.紫崎 雪",ALTERNATIVE SHIBUYA E-POP,189,-,5,8,10,-,5,8,10,-,-,495,782,1337,-,527,809,1380,-
サヨナラ・ヘヴン-Celtic Chip Dance Mix-,しのりゅー,BEMANI 8BIT COLLECTION,137,-,4,8,10,-,4,7,10,-,-,461,775,1319,-,443,736,1280,-
≡+≡,Ryu☆,NIGHTCORE,182,3,7,10,11,12,7,10,11,12,301,698,1069,1520,2333,696,1031,1573,2233
罪過の聖堂,OSTER project,PIANO CONCERTO,40-165,-,5,8,10,-,4,9,11,-,-,449,708,1080,-,449,731,1081,-
湘南ロンリーMIDNIGHT RAIN,"Nana Takahashi & BEMANI Sound Team ""T.Kakuta""",歌謡ニューウェーブ,165,-,5,8,10,-,5,8,10,-,-,493,918,1438,-,518,891,1305,-
少年リップルズ,常盤ゆう,EMOCTRO,210,-,4,9,11,-,4,9,11,-,-,451,903,1242,-,482,970,1284,-
ぞうしょく！？マイデンティティ,DJ SHARPNEL feat.みらい,バーチャルマルチコア,200,-,6,10,12,-,6,10,12,-,-,645,1177,1851,-,645,1165,1787,-
チェイスチェイスジョーカーズのうた (オニスタイルリミックス),ちよこ & 一ノ瀬 月琉 Prod. by RoughSketch & NUE,ウラシュダイカ,200,-,5,9,11,-,5,9,11,-,-,498,876,1427,-,502,923,1386,-
ちょえちょえまぎか,Pizuya's Cell,ROCK,180,-,6,10,11,-,6,10,11,-,-,619,1159,1529,-,619,1136,1512,-
月と夢の跡 ft. マナ,Xceon,J METAL×DANCE POP,160,-,5,8,10,-,5,8,10,-,-,484,780,1269,-,488,808,1233,-
儚キ戀ノ幻想譚,まろん feat. あやぽんず＊ (森羅万象),和風歌謡硬核音楽,175,3,8,10,12,-,7,10,12,-,298,797,1169,1808,-,806,1139,1800,-
パーフェクトイーター,"BEMANI Sound Team ""PON"" feat.かなたん",ROCK,175,-,5,9,11,-,5,9,11,-,-,591,1057,1531,-,599,1060,1541,-
真夜中のバベル,Len,HOUSE,140,-,4,7,9,-,4,7,9,-,-,360,607,877,-,357,597,891,-
楽園追放,中山真斗 feat. CHAN,ALTERNATIVE,239,-,5,8,10,-,5,8,10,-,-,476,796,1228,-,496,776,1223,-
輪廻の鴉,"BEMANI Sound Team ""dj TAKA""",SPIRITUAL CORE,198,-,5,9,11,-,6,9,11,-,-,520,910,1398,-,584,910,1398,-
恋愛＝精度×認識力,"立秋 vs. BEMANI Sound Team ""L.E.D.-G"" feat.ちょこ＆ななひら",HARDCORE×ソフラン×変拍子×萌え,3-333,-,7,10,12,-,7,10,12,-,-,825,1220,1756,-,805,1174,1716,-
惑星☆ロリポップ,SOUND HOLIC feat. Nana Takahashi,ANIMTRIBE POP,180,-,4,8,11,-,4,7,11,-,-,397,806,1425,-,413,790,1459,-
ACTØ,モリモリあつし,NEOTRANCE CORE,185,-,6,10,12,-,6,10,12,-,-,639,1124,1534,-,620,1043,1606,-
Aeterna,satella feat. Risa Yuzuki,UNSUNG FANTASIA,182,-,4,8,10,-,4,8,11,-,-,498,797,1285,-,507,789,1258,-
Akatsuki,PRIDASK,LOUD TRAP,180,-,5,7,10,-,5,7,10,-,-,509,789,1135,-,479,759,1041,-
Ambivalent Vermilia,"BEMANI Sound Team ""二代目朱雀 feat.朱雀""",HARD RENAISSANCE,185,-,7,10,12,-,7,10,12,-,-,783,1248,2132,-,780,1251,2105,-
Amethyst,BlackY,TRANCE,155,-,6,9,11,-,6,9,11,-,-,667,933,1322,-,643,953,1248,-
Bitter & Lucky,DÉ DÉ MOUSE,NU SYNTH BASS,135-180,-,4,7,10,-,4,8,10,-,-,443,704,1287,-,456,873,1369,-
BLAZING_LAZER,brz1128,BURNING RAVE,191,-,6,10,12,-,6,9,12,-,-,630,1084,1752,-,644,1100,1724,-
CADENZA,"lapix ∞ BEMANI Sound Team ""L.E.D.""",PSYCHEDELIC TRANCE,160,-,7,10,12,-,7,10,12,-,-,775,1277,2357,-,769,1302,2354,-
Chemical Colours,"Blacklolita x BEMANI Sound Team ""Expander""",COLOUR TECHCORE,175,-,5,9,11,-,5,9,11,-,-,526,1035,1416,-,547,1021,1426,-
CODE:2,HEXA,HARD TECHNO,155,-,5,9,11,-,5,9,12,-,-,546,905,1491,-,551,903,1730,-
COUNTING SHEEP ft. Kanae Asaba,Xceon,SYMPHONIC DRUM'N'BASS,152,-,4,7,10,-,4,7,10,-,-,339,659,1114,-,343,689,1077,-
Cult Invitation,"BEMANI Sound Team ""謎の勢力""",00's TECHNO,164,-,6,10,12,-,6,10,12,-,-,621,984,1804,-,617,994,1779,-
Dahlia,BlackY,HARD RENAISSANCE,185,-,6,10,12,-,6,10,12,-,-,665,1095,1617,-,694,1030,1600,-
DAZZLE ATTACK,Yuta Imai,HAPPY HARDCORE TAKEOVER,175,3,5,8,11,-,5,8,11,-,277,494,847,1435,-,500,858,1419,-
Deep Sea Mystery,Dirty Androids,NEO 90's AMBIENT JUNGLE,172,-,6,8,10,-,6,9,11,-,-,567,749,997,-,566,815,1057,-
Demon March,Nhato,CINEMATIC BREAKCORE,174,-,6,10,12,-,6,10,12,-,-,749,1209,1875,-,789,1294,1984,-
Echoes of Sunfall,nora2r,ETHNIC HARDSOUND,160,-,5,8,11,-,5,8,11,-,-,522,838,1518,-,537,817,1410,-
frequent,"BEMANI Sound Team ""dj TAKA""",MUSIC GAME TRADITIONAL,176,-,5,10,12,-,5,10,12,-,-,665,1178,1900,-,655,1260,1821,-
GAME ON,DJ Mass MAD Izm* feat.H14 of LEONAIR,MIXTURE,105,-,7,10,12,-,7,10,12,-,-,696,1141,1386,-,656,1070,1592,-
Get Higher,"BEMANI Sound Team ""劇団レコード""",ADVENTURE TRIP,170,-,6,9,11,-,6,9,11,-,-,496,889,1171,-,509,909,1259,-
Get Wicked,Maozon,BIG BEAT,135,-,5,8,10,-,5,8,10,-,-,454,744,1251,-,464,744,1132,-
Ghost Pulse,crayvxn,NEOTRANCE,165,-,6,9,12,-,6,9,12,-,-,537,852,1409,-,517,877,1420,-
Glitch N Ride,Eagle,COLOUR BASS,30-300,-,7,10,12,-,7,10,12,-,-,461,834,1389,-,513,846,1349,-
GloriosA,KARUT,XYMPHONIC TECHCORE,175,-,6,9,11,-,6,9,11,-,-,622,1015,1437,-,601,920,1322,-
GLORIOUS HAMMER,AJURIKA,DUBSTEP,155-160,-,6,9,11,-,6,9,11,-,-,560,993,1587,-,611,1040,1520,-
Hard Breaker,Nhato,HARD TRANCE,155,-,4,8,10,-,4,8,10,-,-,391,793,1286,-,416,797,1234,-
Hat Surprise (Season 3),Hommarju,UK HARDCORE,180,-,6,10,11,-,6,10,11,-,-,632,1107,1384,-,623,1062,1345,-
i-ii,かめりあ,HITECH NHI FULLON,155,-,6,9,11,-,6,9,11,-,-,559,911,1499,-,555,899,1444,-
INHERITANCE,Zekk,TRANCE CORE,180,-,6,9,11,12,6,9,11,12,-,553,913,1432,1827,552,896,1376,1869
Iris,"BEMANI Sound Team ""HuΣeR"" feat.紫村 花澄",EMOTIONAL J-POP,177,2,4,7,10,-,4,7,10,-,208,421,775,1109,-,488,809,1163,-
Jumper,Masayoshi Iimori,DRUM'N'BASS,174,-,4,7,10,-,4,7,10,-,-,458,763,1214,-,466,733,1129,-
Just Gimme,Maozon,CYBER DRUMSTEP,178,-,5,8,11,-,5,8,11,-,-,486,869,1393,-,470,908,1412,-
JUSTICE/GUILTY feat. Nana Takahashi & 709sec.,"BEMANI Sound Team ""L.E.D.""",ROCKIN' DRUM & BASS,183,-,7,10,12,-,7,10,12,-,-,882,1271,1959,-,879,1275,1909,-
Level 5,Yamato,Drumstep / Bass House / Dnb,185,-,6,10,12,-,6,10,12,-,-,679,1256,1937,-,689,1250,1858,-
MAXIMUM CHEAT GIRL,かめりあ feat. ななひら,MAXIMUM GAME-BREAKING HARDCORE,210,-,6,10,12,-,6,10,12,-,-,628,1133,1842,-,653,1166,1787,-
Million Dollar,Dirty Androids,PARTICULAR NIGHTSCAPE,180,-,6,10,12,-,6,10,12,-,-,599,1028,1762,-,663,1035,1759,-
Monkey Business,kors k,HARD DANCE,80-160,-,5,8,11,-,5,8,11,-,-,369,809,1324,-,393,787,1290,-
Mukade,kors k,SCHRANZ,160,-,6,9,11,-,6,9,11,-,-,572,967,1645,-,593,966,1546,-
My Sweet Bird?,アオワイファイ feat.秋山雫,J-POP,180,-,4,7,9,-,4,7,9,-,-,427,769,1107,-,432,784,1065,-
NEEDLESS MY LOVE FOR YOU,Pizuya's Cell,ROCK,182,-,5,8,10,-,5,8,10,-,-,509,830,1224,-,512,835,1301,-
Out of Control,CANVAS feat. Quimär,FREEFORM ARTCORE,185,-,6,10,12,-,6,10,12,-,-,592,1178,1598,-,598,1200,1649,-
out of disk space,TORIENA,CHARGE CORE,165-190,-,6,9,11,-,6,9,11,-,-,565,998,1305,-,546,948,1289,-
PILGRIM,crayvxn,TRAP,150,-,5,9,11,-,5,8,11,-,-,494,870,1381,-,470,772,1359,-
Psychedelic Intelligence,"BEMANI Sound Team ""Sota Fujimori""",PSYCHEDELIC,150,-,6,9,11,-,6,9,11,-,-,636,960,1448,-,641,975,1450,-
Red Determination,RoughSketch,HARDCORE,180,-,5,8,11,-,5,8,11,-,-,534,815,1355,-,531,820,1373,-
Resonant,"BEMANI Sound Team ""猫叉Master"" & かめりあ",DRUM'N'BASS,182,-,5,10,12,-,6,10,12,-,-,542,1206,1864,-,580,1173,1824,-
Riff//rain,Rainy。,THEME SONG,180,1,4,7,9,-,4,7,9,-,106,369,639,907,-,395,676,964,-
See You Again,kors k & Numb'n'dub,HARDCORE,175,-,5,9,11,-,5,9,11,-,-,601,960,1584,-,607,944,1519,-
Seven Times Four,Hommarju,UK HARDCORE,170,-,5,9,12,-,5,9,12,-,-,597,1023,1763,-,614,1043,1690,-
Shapeshifter,Avans,TECHNICAL ELECTRO,134,-,6,9,10,-,6,9,11,-,-,566,874,1283,-,574,863,1335,-
Sirius,MK,COLOUR BASS,165,-,5,9,12,-,5,9,12,-,-,514,850,1637,-,513,850,1533,-
So What,PRIDASK,BASS HOUSE,128,-,3,6,9,-,3,6,9,-,-,315,590,929,-,320,618,897,-
SOLAR ECLIPSE,"Yuta Imai Vs. BEMANI Sound Team ""Yvya""",CROSSOVER,195,-,7,10,12,-,7,10,12,-,-,762,1265,1893,-,761,1276,1901,-
